TERMOS;OBSERVA��O (CARACTERES);EXLCUIR;sin�nimo (categoria);Frequency
MISOPROSTOL SPATIALIZING;;;ABORTION STUDY;1
MISREPRESENTING REPRODUCTIVE;;;;1
MISSISSIPPIS FIERCEST;;;;1
MISTIMED PREGNANCY;;;;1
MITIGATE HARMS;;;;1
MITIGATION OPPORTUNITIES;;;;1
MIXED METHODS;;;;1
MIXED-METHODS STUDY;;1;;1
MIXED-UP POLITICS;;;;1
MOBILE CRISIS;;;;1
MOBILE PROGRAMS;;;;1
MOBILE SERVICES;;;;1
MOBILITIES RHYTHMS;;;;1
MODEL PSYCHOLOGICAL;;;;1
MODERATING ASSOCIATION;;;;1
MODERN ERA;;;;1
MODERN FEMININE;;;;1
MODERN IRELAND;;;;1
MODERN NARRATIVES;;;;1
MOMS ACT;;;;1
MONEY RACE;;;;1
MONEY SEX;;;;1
MONTHS WEEKS;;;;1
MORAL AGENCY;;;;1
MORAL CONUNDRUM;;;;1
MORAL ECONOMY;;;;1
MORAL EQUALITY;;;EQUITY ADDRESSING;1
MORAL MEMORY;;;;1
MORAL OBLIGATION;;;;1
MORAL RIGHTS;;;;1
MORAL VALUES;;;;1
MORALITY COURAGE;;;;1
MORBIDITYMORTALITY IMPEDES;;;;1
MORTALITY POVERTY;;;;1
MORTALITY RESEARCH;;;;1
MORTALITY RISK;;;;1
MOTHER ACTIVISTS;;;;1
MOTHER NEO-IMPERIAL;;;;1
MOTHERHOOD ANDAS;;;;1
MOTHERHOOD GRAFTED;;;;1
MOTHERHOOD INITIATIVE;;;;1
MOTHERHOOD REPRODUCTIVE;;;;1
MOTHERHOOD SCOPING;;;;1
MOTHERS BIRTHING;;;;1
MOTHERS REPRODUCTIVE;;;;1
MOTHERS STORIES;;;;1
MOTHERS VOICES;;;;1
MOUNTAIN REGION;;;;1
MOUNTAIN WEST;;;;1
MOVE MOBILE;;;;1
MOVEMENT INTERSECTIONALITY;;;;1
MOVEMENT RESEARCH-A;;;;1
MOVEMENT VOLUNTEER;;;;1
MOVING ORAL;;1;;1
MUJERES GITANAS;;;;1
MULTIDIMENSIONAL POWER;;;;1
MULTILEVEL ANALYSIS;;;;1
MULTILEVEL STUDY;;;;1
MULTILINEAL KINSHIP;;;;1
MULTI-METHOD EVALUATION;;;;1
MULTIPLE HARMS;;;;1
MULTIPRONGED APPROACH;;;;1
MULTIVALENT LOSS;;;;1
MUNGIUS MONTHS;;;;1
MURATAS VANISHING;;;;1
MUSKOKA INITIATIVE;;;;1
MUTHA BLACK;;;;1
NACIONAL INTEGRADO;;;;1
NADYA SULEMAN;;;;1
NAIROBI SUMMIT;;;;1
NAMING SILENCE;;;;1
NARRATIVE IDENTITY;;;;1
NARRATIVE REVIEW;;1;;1
NATAL POLITICS;;;;1
NATIONAL ABORTION;;;;1
NATIONAL COHORT;;;;1
NATIONAL CONVENING;;;;1
NATIONAL INSTITUTE;;;;1
NATIVE HAWAIIAN;;;;1
NAVIGATE RISK;;;;1
NAVIGATING HOMELESSNESS;;;;1
NAVIGATING REPRODUCTION;;;;1
NAVIGATING REPRODUCTIVE;;;;1
NECROPOLITICAL APPROACH;;;;1
NEGLECT BLACK;;;;1
NEGOTIATING SAMENESS;;;;1
NEIGHBORHOOD EVICTION;;;;1
NEO-IMPERIAL REPRODUCTIVE;;;;1
NEOLIBERAL CHOICE;;;;1
NEOLIBERAL ENTANGLEMENT;;;;1
NEOLIBERAL RIGHTS-BASED;;;;1
NEOLIBERAL TIMES;;;;1
NEOLIBERALISM NEOCONSERVATISM;;;;1
NEO-MALTHUSIAN REFLEX;;;;1
NETWORK ANALYSIS;;;;1
NEWS COMMENTS;;;;1
NEWS COVERAGE;;;;1
NICHE SOCIALITY;;;;1
NONBINARY ADOLESCENTS;;;;1
NON-BINARY PEOPLE;;;;1
NONBINARY PEOPLES;;;;1
NONHORMONAL METHODS;;;;1
NONREPRODUCING WOMEN;;;;1
NORDIC WELFARE;;;;1
NORM EXAMINING;;;;1
NORMAL COLORED;;;;1
NORMATIVE ACCOUNTABILITY;;;;1
NORMATIVE BODIES;;;;1
NORMATIVE EXPECTATIONS;;;;1
NORMATIVE MOTHERHOOD;;;;1
NORTH AMERICA;;;;1
NORTH CAROLINA;;;;1
NORTH CAROLINAS;;;;1
NOVE LTHE;;1;;1
NUANCED ABORTION;;;;1
NUNS DONT;;1;;1
NURSE PRACTITIONER;;;;1
NURSES ROLE;;;;1
NURSING CURRICULA;;;;1
NURSING EDUCATION;;;;1
NUTRITION SURVEY;;;;1
OBESITY EPIDEMIC;;;;1
OBSTETRIC PATIENTS;;;;1
OBSTETRICS ENHANCING;;;;1
OBTAINING BUY-IN;;;;1
OBTAINING POSTPARTUM;;;;1
OCCUPATIONAL HEALTH;;;;1
OFFERING ABORTION;;;;1
ONE-CHILD POLICY;;;;1
ONGOING STRUGGLE;;;;1
ONLINE COMMUNITY;;;;1
ONLINE CROSS-SECTIONAL;;;;1
ONLINE FEMALE;;;;1
ONLINE FRAMINGS;;;;1
ONLINE GENEALOGY;;;;1
ONLINE WORLD;;;;1
ONTARIO CANADA;;;;1
OPPRESSION ENTERS;;;;1
OPPRESSIVE SOCIAL;;;;1
OPTIMIZE INFANT;;;;1
ORAL CONTRACEPTIVE;;;CONTRACEPTION CARE;1
ORAL CONTRACEPTIVES;;;CONTRACEPTION CARE;1
ORAL HISTORY;;;;1
ORANGA TAMARIKI;;;;1
ORGANIZATION DECISION;;;;1
ORGANIZATION NEGOTIATING;;;;1
ORGANIZATIONAL ADVOCACY;;;ACTIVIST KNOWLEDGES;1
ORGANIZATIONAL PARTICIPATION;;;ACTIVIST KNOWLEDGES;1
ORGANIZATIONS INTERSECTIONALITY;;;ACTIVIST KNOWLEDGES;1
ORGANS ENVIRONMENTAL;;;;1
ORLEANS MATERNAL;;;;1
OUTRIGHT CHALLENGES;;;;1
OVERDOSES REPRODUCTIVE;;;;1
OVERLAPPING HISTORIES;;;;1
OVERPOPULATION DISCOURSE;;;;1
OVER-THE-COUNTER ORAL;;;;1
OVERTURNING IROE;;;;1
OWES REPRODUCTIVE;;;;1
OZEKIS IALL;;;;1
PACIFIC ISLANDER;;;PACIFIC ISLANDER;1
PACIFIC ISLANDS;;;PACIFIC ISLANDER;1
PAIN NATAL;;;;1
PALGRAVE HANDBOOK;;;;1
PALLIATIVE CARE;;;;1
PANDEMIA DE;;;COVID- PANDEMIC;1
PANDEMIC EUGENICS;;;COVID- PANDEMIC;1
PANDEMIC FREEDOM;;;COVID- PANDEMIC;1
PANDEMIC LESSONS;;;COVID- PANDEMIC;1
PANEL ANALYSIS;;;;1
PARADIGM SHIFT;;;;1
PARADOX WOMEN;;;;1
PARALLELING FOOD;;;;1
PARENTHOOD COMPULSORY;;;;1
PARENTHOOD NARRATIVES;;;;1
PARENTING CULTURE;;;;1
PARENTING DEFINING;;;;1
PARENTING YOUTH;;;ADDRESSING TEENAGE;1
PARENTS SURROGACY;;;;1
PARTICIPATORY ACTION;;;;1
PARTICULARISM SYMPOETIC;;;;1
PARTIR DA;;1;;1
PARTNER SELECTION;;;;1
PARTNER VIOLENCE;;;;1
PÚBLICA SOBRE;CARACTER ESPECIAL;;;1
PAST DISCUSSING;;;;1
PASTORAL GUIDELINES;;;;1
PATH ANALYSIS;;;;1
PATIENT BARRIERS;;;;1
PATIENT EPIDEMIOLOGY;;;;1
PATIENT-CENTERED FAMILY;;;;1
PATIENT-CENTERED MOBILE;;;;1
PATIENT-CENTERED POSTPARTUM;;;;1
PATIENT-CENTERED STRUCTURALLY;;;;1
PATIENT-PROVIDER RACE;;;;1
PATIENT-REPORTED DIFFICULT;;;;1
PATIENTS LEAVE;;;;1
PATIENTS RESIDING;;;;1
PATIENTS SEEKING;;;;1
PATRIARCHAL COMMITMENTS;;;;1
PAULIINA RAUHALAS;;;;1
PEDAGOGIA REPRODUTIVA;;;;1
PEDAGOGY NOMEANDO;;;;1
PEDIATRIC EDUCATION;;;;1
PEDIATRIC HEALTH;;;;1
PEDIATRIC PRIMARY;;;;1
PEDIATRIC TRAINING;;;;1
PELA PANDEMIA;;;COVID- PANDEMIC;1
PELVIC EXAMS;;;;1
PEOPLE ACCESS;;;;1
PEOPLE ASSIGNED;;;;1
PEOPLE CONVERSATIONS;;;;1
PEOPLE IA;;;;1
PEOPLE POST-I;;;;1
PEOPLE REVISITING;;;;1
PEOPLE SEEKING;;;;1
PEOPLES BOOK;;;;1
PEOPLES EXPERIENCES;;;;1
PEOPLES REPRODUCTIVE;;;;1
PERCEIVED CONTRACEPTIVE;;;;1
PERCEIVED SENSE;;;;1
PERFORMING MOTHERING;;;;1
PERINATAL MOOD;;;REPRODUCTIVE HEALTH;1
PERINATAL OUTCOMES;;;REPRODUCTIVE HEALTH;1
PERINATAL PEOPLE;;;REPRODUCTIVE HEALTH;1
PERINATAL SAFETY;;;REPRODUCTIVE HEALTH;1
PERINATAL SERVICES;;;REPRODUCTIVE HEALTH;1
PERINATAL WELL-BEING;;;REPRODUCTIVE HEALTH;1
PERINATAL WOMEN;;;REPRODUCTIVE HEALTH;1
PERINATALES EN;;1;REPRODUCTIVE HEALTH;1
PERIPARTUM SUPPORT;;;REPRODUCTIVE HEALTH;1
PERPETUATE STRUCTURES;;;;1
PERSON-CENTERED ABORTION;;;ABORTION STUDY;1
PERSONS PREFER;;;;1
PERSPECTIVE WISDOM;;;;1
PERSUASION NORMATIVE;;;;1
PHALLIC ECONOMY;;;;1
PHANTOM PUBLIC;;;;1
PHARMACEUTICAL SOLUTION;;;;1
PHARMACIST CONTRACEPTION;;;;1
PHENOMENOLOGICAL APPROACH;;;;1
PHILOSOPHERS MESSAGE;;;;1
PHYSICAL AUTONOMY;;;;1
PIG WASTE;;;;1
PILOT STUDY;;1;;1
PLACE-BASED REPRODUCTIVE;;;;1
PLANEJAMENTO REPRODUTIVO;;;CONTRACEPTION CARE;1
PLANIFICACIÓN FAMILIAR;CARACTER ESPECIAL;;CONTRACEPTION CARE;1
PLANNED PARENTHOOD;;;;1
PLANNING ABORTION;;;ABORTION STUDY;1
PLANNING CHRONIC;;;;1
PLANNING CONTRACEPTIVE;;;CONTRACEPTION CARE;1
PLANNING INTENTIONS;;;;1
PLANNING KNOWLEDGE;;;;1
PLANNING PARADIGM;;;;1
PLANNING PREGNANCIES;;;;1
PLANNING PREVENTION;;;CONTRACEPTION CARE;1
PLANNING PROGRAMME;;;;1
PLANNING PROVIDERS;;;;1
PLANNING RAISING;;;;1
PLANNING REPRODUCTIVE;;;;1
PLANNING SCIENCE;;;;1
PLEASURABLE FUTURES;;;;1
POLÍGONO SUR;;;;1
POLICE VIOLENCE;;;;1
POLICIES ADVANCING;;;;1
POLICIES PRACTICES;;;;1
POLICING HISTORIES;;;;1
POLICY CLINICAL;;;;1
POLICY CONFERENCE;;;;1
POLICY DISCOURSES;;;;1
POLICY LANDSCAPE;;;;1
POLICY POWER;;;;1
POLICY SAGA;;;;1
POLICY WINDOW;;;;1
POLIGONO SUR;;;;1
POLITEST FORM;;;;1
POLITICAL ACTIVISM;;;;1
POLITICAL CHALLENGES;;;;1
POLITICAL CHANGE;;;;1
POLITICAL DESIRE;;;;1
POLITICAL IMAGINATION;;;;1
POLITICAL PERFORMANCES;;;;1
POLITICAL PRAXIS;;;;1
POLITICAL REPARATIONS;;;;1
POLITICAL RISKS;;;;1
POLITICS PRACTICES;;;;1
POLITICS RACIALIZED;;;;1
POLITICS REPRODUCTIVE;;;;1
POLITICS TECHNOCRATIC;;;;1
POLYGENIC SCREENING;;;;1
POOR MOTHERS;;;;1
POPULAR FEMINIST;;;;1
POPULATION BOMB;;;;1
POPULATION CLIMATE;;;;1
POPULATION CONCERNS;;;;1
POPULATION CONTROL;;;;1
POPULATION COUNTING;;;;1
POPULATION GROWTH;;;;1
POPULATION HEALTH;;;HEALTH ISSUE;1
POPULATION HETEROGENEITY;;;;1
POPULATION POLICIES;;;;1
POPULATION-BASED ADOLESCENT;;;ADDRESSING TEENAGE;1
POPULATIONS ETHICAL;;;ETHICAL ISSUES;1
PORA SPEAKING;;;;1
POSITION STATEMENT;;;;1
POSITIONING SEXUAL;;;;1
POST COVID-;;;COVID- PANDEMIC;1
POST-ABORTION SYNDROME;;;ABORTION STUDY;1
POSTCOLONIAL INDIA;;;;1
POSTCOLONIAL KENYA;;;;1
POSTCONFLICT SEXUAL;;;;1
POST-CONSTRUCTIONISM REFLECTIONS;;;;1
POST-DOBBS WORKFORCE;;;DOBBS DECISION;1
POSTFEMINIST UNWANTED;;;;1
POSTHUMANISME REPRODUCTIU;;;;1
POST-I ROEI;;;POST-ROE ERA;1
POSTI-DOBBS IINTERSECTION;;;DOBBS DECISION;1
POST-INSERTION COUNSELING;;;;1
POST-IROEI REPRODUCTIVE;;;POST-ROE ERA;1
POST-IROEI WORLD;;;POST-ROE ERA;1
POSTPARTUM CONTRACEPTIVE;;;CONTRACEPTION CARE;1
POSTPARTUM HEALTH;;;REPRODUCTIVE HEALTH;1
POSTPARTUM PERIOD;;;REPRODUCTIVE HEALTH;1
POSTPARTUM WEIGHT;;;REPRODUCTIVE HEALTH;1
POSTPARTUM WOMEN;;;REPRODUCTIVE HEALTH;1
POST-ROE ABORTIFACIENTS;;;POST-ROE ERA;1
POST-ROE EMERGENCY;;;POST-ROE ERA;1
POST-ROE ERA;;;POST-ROE ERA;1
POST-ROE UNITED;;;POST-ROE ERA;1
POST-TRUTH ERAI;;;;1
POTENTIAL BUSTS;;;;1
POVERTY GENDER;;;;1
POWER BLACK;;;;1
POWER INTERSECTIONALITY;;;;1
POWER MATTERS;;;;1
PRACTICE ASSOCIATIONS;;;;1
PRACTICE GUIDANCE;;;;1
PRACTICE LESSONS;;;;1
PRACTICE NURSES;;;;1
PRACTICE SEX-SELECTIVE;;;;1
PRACTICE-LED RESEARCH;;;;1
PRACTICES PERFORMANCES;;;;1
PRACTICES SHAPING;;;;1
PRACTICES SOCIETY;;;;1
PRACTICES UNAFFORDABLE;;;;1
PRE-BIRTH CHILD;;;;1
PRECARIOUS LIVES;;;;1
PRECARIOUS REPRODUCTIVE;;;;1
PRECARIOUS ROLE;;;;1
PRECARIOUS STATUS;;;;1
PRECARITY UNDERSTANDING;;;;1
PRECISION MEDICINE;;;;1
PRE-CLERKSHIP MEDICAL;;;;1
PRECONCEPTION CONSULT;;;;1
PREFIGURATIVE FEMINIST;;;;1
PREGNANCIES CHOOSING;;;;1
PREGNANCY ACT;;;;1
PREGNANCY CENTER;;;REPRODUCTIVE HEALTH;1
PREGNANCY CROSS-FERTILISING;;;ASSISTED REPRODUCTION;1
PREGNANCY DECISION-MAKING;;;REPRODUCTIVE HEALTH;1
PREGNANCY DESIRES;;;REPRODUCTIVE HEALTH;1
PREGNANCY DISCUSS;;;REPRODUCTIVE HEALTH;1
PREGNANCY FATNESS;;;REPRODUCTIVE HEALTH;1
PREGNANCY FILMS;;;;1
PREGNANCY FRAMEWORK;;;REPRODUCTIVE HEALTH;1
PREGNANCY IMPLICATIONS;;;REPRODUCTIVE HEALTH;1
PREGNANCY LOSS;;;REPRODUCTIVE HEALTH;1
PREGNANCY MANAGEMENT;;;REPRODUCTIVE HEALTH;1
PREGNANCY OUTCOMES;;;REPRODUCTIVE HEALTH;1
PREGNANCY SELF-HELP;;;REPRODUCTIVE HEALTH;1
PREGNANCY VIEWS;;;REPRODUCTIVE HEALTH;1
PREGNANCY-RELATED MORTALITY;;;REPRODUCTIVE HEALTH;1
PREGNANT ADOLESCENTS;;;ADDRESSING TEENAGE;1
PREGNANT INDIVIDUALS;;;REPRODUCTIVE HEALTH;1
PREGNANT MIGRANT;;;REPRODUCTIVE HEALTH;1
PREGNANT POPULATIONS;;;REPRODUCTIVE HEALTH;1
PREGNANT PRECARIOUS;;;REPRODUCTIVE HEALTH;1
PREGNANT SURGICAL;;;REPRODUCTIVE HEALTH;1
PRENATAL GENETIC;;;REPRODUCTIVE HEALTH;1
PRENATAL SUPPLEMENTATION;;;REPRODUCTIVE HEALTH;1
PREPARING CRIMINAL;;;CRIMINAL JUSTICE;1
PRESERVATION COVERAGE;;;;1
PRESERVE MINIMUM;;;;1
PRESSING ISSUE;;;;1
PRETERM BIRTH;;;;1
PREVALENCE PREVENTIVE;;;;1
PREVENTABLE DEATHS;;;;1
PREVENTION CRISIS;;;;1
PREVENTION PROGRAM;;;;1
PREVENTION TECHNOLOGIES;;;;1
PREVENTIVE CARE;;;;1
PREVENTIVE EUGENICS;;;;1
PRIORITIZING MATERNAL;;;REPRODUCTIVE HEALTH;1
PRIORITY INFANT;;;;1
PRISON ABOLITION;;;ABOLITION POLITICS;1
PRISON ESTIMATED;;;ABOLITION POLITICS;1
PRISONS PREGNANCY;;;ABOLITION POLITICS;1
PRISONS STERILIZATION;;;ABOLITION POLITICS;1
PRIVACY LAWS;;;CRIMINAL JUSTICE;1
PRIVACY PRECARITY;;;;1
PRIVATE ASSISTED;;;;1
PRIVILEGING MIDWIVES;;;;1
PROBLEMATIC FRAMES;;;;1
PROBLEMATIZAÇÃO DA;CARACTER ESPECIAL;;;1
PROBLEMATIZING REPRODUCTIVE;;;;1
PROCESSING RACISM;;;;1
PRO-CHOICE DISCOURSE;;;;1
PRO-CHOICE PARADIGM;;;;1
PROCREATIONAL ETHOS;;;;1
PROCREATIVE JUSTICE;;;;1
PROCREATIVE LIBERTY;;;;1
PROCREATIVE MORAL;;;;1
PRODUCTIVE HEALTH;;;;1
PRODUCTIVE JUSTICE;;1;;1
PRO-FAMILY POLITICS;;;;1
PROFESSION COMMON;;;;1
PROFESSIONAL CONTINUUM;;;;1
PROFESSIONAL ETHICS;;;ETHICAL ISSUES;1
PROFESSIONALS ATTITUDES;;;;1
PROGRAMA DE;;1;;1
PROGRESSIVE CHRISTIAN;;;;1
PROGRESSIVE REGULATION;;;;1
PRO-LIFE MOVEMENT;;;;1
PRO-LIFE POLITICS;;;;1
PROMOTE JUSTICE;;;;1
PROMOTES REPRODUCTIVE;;;;1
PROMOTING ADVOCACY;;;;1
PROMOTING AUTONOMY;;;;1
PROMOTING CHOICE;;;;1
PROMOTING JUSTICE;;;;1
PROMOTION PROGRAM;;;;1
PRONATALIST POLITICS;;;;1
PROSPECTIVE COHORT;;;;1
PROSPECTIVE STUDY;;;;1
PROTECT ABORTION;;;;1
PROTECTING BLACK;;;;1
PROTECTION SYSTEM;;;;1
PROTESTS UTILIZING;;;;1
PROVIDER PERSPECTIVES;;;;1
PROVIDER SURVEY;;;;1
PROVIDER VERBAL;;;;1
PROVIDING CONTRACEPTIVE;;;;1
PROVIDING CULTURALLY;;;;1
PROVIDING INPATIENT;;;;1
PROVIDING POST-INSERTION;;;;1
PRO-VOICE APPROACH;;;;1
PRO-WOMAN FRAME;;;;1
PSYCHIATRIC ADVANCE;;;;1
PSYCHO ONLINE;;;;1
PSYCHOANALYTIC POLITICAL;;;;1
PSYCHOLOGICAL RELATIONAL;;;;1
PSYCHOLOGISTS ADVOCATING;;;;1
PUBLIC BLACK;;;;1
PUBLIC MENTAL;;;;1
PUBLIC POLICIES;;;;1
PUBLIC-SECTOR FACILITIES;;;;1
PUERTO RICAN;;;;1
PUNISHING ILLEGALIZED;;;;1
PUNITIVE TIMES;;;;1
PURVI PATEL;;;;1
QUALIFIED HEALTH;;;HEALTH ISSUE;1
QUALITATIVE APPLICATION;;;;1
QUALITATIVE COMMUNITY-LED;;;;1
QUALITATIVE COV;;;;1
QUALITATIVE META-SYNTHESIS;;;;1
QUALITATIVE MULTILEVEL;;;;1
QUALITATIVE RESEARCH-TO-POLICY;;;;1
QUALITATIVE SECONDARY;;;;1
QUALITATIVE SURVEY;;;;1
QUALITY CARE;;;;1
QUALITY CLINICAL;;;;1
QUALITY IMPLICATIONS;;;;1
QUALITY IMPROVEMENT;;;;1
QUANTITY-QUALITY TRADE-OFF;;;;1
QUANTUM REQUIREMENTS;;;;1
QUARTERLYI CITATION;;;;1
QUASI-EXPERIMENTAL STUDY;;;;1
QUEER ANTI-RACIST;;;;1
QUEER ARGONAUTS;;;;1
QUEER BEINGKNOWINGFEELING;;;;1
QUEER BIOETHICAL;;;ETHICAL ISSUES;1
QUEER CRIP;;;;1
QUEER CRITIQUES;;;;1
QUEER INTIMACIES;;;;1
QUEER LENS;;;;1
QUEER LIBERATION;;;;1
QUEER PARENTS;;;;1
QUEER PHENOMENOLOGICAL;;;;1
QUEER REPRODUCTIONS;;;;1
QUEER REPRODUCTIVE;;;;1
QUEER THEORY;;;;1
QUEERING BIOETHICS;;;ETHICAL ISSUES;1
QUEERING REPRODUCTION;;;;1
QUESTIONING SEXUAL;;;;1
QUESTIONS PREGNANCY;;;;1
QUIÉN QUIERE;CARACTER ESPECIAL;;;1
QUIERE SER;;1;;1
RACE CONCORDANCE;;;;1
RACE GENDER;;;;1
RACE INEQUALITIES;;;EQUITY ADDRESSING;1
RACE MATCHING;;;;1
RACE PIG;;;;1
RACE REPRODUCTION;;;;1
RACE SERIES;;;;1
RACE SEXUALITY;;;;1
RACE THEORY;;;;1
RACE-CONCORDANT CARE;;;;1
RACEI IGENDERI;;;;1
RACIAL CAPITALISM;;;;1
RACIAL DISPARITY;;;;1
RACIAL ERASURE;;;;1
RACIAL GRIEF;;;;1
RACIAL INEQUALITY;;;EQUITY ADDRESSING;1
RACIAL INEQUITIES;;;EQUITY ADDRESSING;1
RACIAL INEQUITY;;;EQUITY ADDRESSING;1
RACIAL PROJECT;;;;1
RACIAL VIOLENCE;;;;1
RACIALISED MATERNAL;;;BLACK MOTHERS;1
RACIALIZED IMAGERY;;;;1
RACIALIZED MOTHER;;;BLACK MOTHERS;1
RACIALIZED MOTHERHOOD;;;BLACK MOTHERS;1
RACIALIZED RESIDENTIAL;;;;1
RACISM CULTIVATED;;;;1
RACISM MIDDLE-CLASS;;;;1
RACISM RUNS;;;;1
RACISM SEXUAL;;;;1
RADICAL CHARGE;;;;1
RADICAL FRAMEWORK;;;;1
RADICAL INEQUALITY;;;EQUITY ADDRESSING;1
RADICAL INFORMED;;;;1
RADICAL LIBERATION;;;;1
RADICAL ROOTS;;;;1
RAPID QUALITATIVE;;;;1
RAUHALAS TAIVASLAULU;;;;1
RE- PRODUCTIVE;;;;1
READING MA;;1;;1
READING MOTHERHOOD;;;;1
READING QUEER;;;;1
READY APPLYING;;1;;1
REAL AFRICAN;;;;1
REAL STORY;;;;1
REALI CONCLUSION;;;;1
REALIZING REPRODUCTIVE;;;;1
REBUILDING AMERICA;;;;1
RECENT DEBATES;;;;1
RECENT GERMAN-LANGUAGE;;;;1
RECLAIMING POWER;;;;1
RECOGNIZING INFERTILITY;;;;1
RECOGNIZING ISSUES;;1;;1
RECOGNIZING REPRODUCTIVE;;;;1
RECONCEIVING SURROGACY;;;;1
RECONSIDERED EXPERIENCES;;;;1
RE-CONSTRUCTS CHRISTIAN;;;;1
RECURRING RHETORICS;;;;1
REDISTRIBUTE GENDERED;;;;1
REDRESSING GESTATIONAL;;;;1
REDUCING SEXUAL;;;;1
REFIGURING MOTHERHOOD;;;;1
REFLECTING SEX;;;;1
REFLECTIVE CAPACITY;;;;1
REFORMING MEDICAID;;;;1
REFORMING SEXUAL;;;;1
REFRAMING HUMAN;;;;1
REFUGEE WOMEN;;;REFUGEE WOMEN;1
REFUGEE WOMENS;;;REFUGEE WOMEN;1
REFUSING EXTRACTION;;;;1
REFUSING STIGMATIZATION;;;;1
REGULAR CONTRIBUTOR;;;;1
REGULATED DONOR;;;;1
REIMAGINING FAITH;;;;1
REIMAGINING GLOBAL;;;;1
REIMAGINING RELATIONALITY;;;;1
REIMAGINING RESEARCH;;;;1
REINFORCING INEQUITIES;;;EQUITY ADDRESSING;1
REJECTING HORMONAL;;;;1
RELATIONAL REPRODUCTIVE;;;;1
RELATIONALITY WOMEN;;;;1
RELATIONSHIP ABUSE;;;;1
RELATIONSHIP BARRIERS;;;;1
RELATIVE SILENCE;;;;1
RELIGIOUS FUNDAMENTALISM;;;;1
RELOCATING REPRODUCTIVE;;;;1
REMOVAL INCARCERATION;;;ABOLITION POLITICS;1
RENEWED CALLS;;;;1
RENEWED PATRIARCHAL;;;;1
REPARATIVE JUSTICECARE;;;;1
REPARATIVE REPRODUCTIVE;;;;1
REPEAL CAMPAIGN;;;;1
REPEAL MOVEMENT;;;;1
REPEAL RETHINKING;;;;1
REPEALEDTHETH TRANSLATING;;;;1
REPRESENTATIONS CONVEYED;;;;1
REPRODUCING RACE;;;;1
REPRODUCTION ACCOUNT;;;;1
REPRODUCTION FAMILY;;;;1
REPRODUCTION HYSTERECTOMY;;;;1
REPRODUCTION STUDY;;;;1
REPRODUCTION SURROGACY;;;;1
REPRODUCTION TECHNOLOGIES;;;;1
REPRODUCTIONS STRATIFIED;;;;1
REPRODUCTIVA EL;;1;;1
REPRODUCTIVE ABUSES;;;;1
REPRODUCTIVE ACCESS;;;;1
REPRODUCTIVE AGE;;;;1
REPRODUCTIVE AGENCY;;;;1
REPRODUCTIVE ANXIETY;;;;1
REPRODUCTIVE BODIES;;;;1
REPRODUCTIVE CARE-SEEKING;;;;1
REPRODUCTIVE CHOICES;;;;1
REPRODUCTIVE COMMODIFICATION;;;;1
REPRODUCTIVE CONTROL;;;;1
REPRODUCTIVE DECISION-MAKING;;;;1
REPRODUCTIVE DISEMBODIMENT;;;;1
REPRODUCTIVE DISSENT;;;;1
REPRODUCTIVE EXPERIENCES;;;;1
REPRODUCTIVE EXPLOITATION;;;;1
REPRODUCTIVE FUNCTION;;;;1
REPRODUCTIVE FUTURE;;;;1
REPRODUCTIVE FUTURISM;;;;1
REPRODUCTIVE GENETIC;;;;1
REPRODUCTIVE GOALS;;;;1
REPRODUCTIVE HUMAN;;;;1
REPRODUCTIVE IDENTITY;;;;1
REPRODUCTIVE INEQUITIES;;;EQUITY ADDRESSING;1
REPRODUCTIVE KNOWLEDGE;;;;1
REPRODUCTIVE LABOR;;;;1
REPRODUCTIVE LABOUR;;;;1
REPRODUCTIVE LIBERTY;;;;1
REPRODUCTIVE LIFE-COURSE;;;;1
REPRODUCTIVE LIVES;;;;1
REPRODUCTIVE LOSS;;;;1
REPRODUCTIVE MANAGEMENT;;;;1
REPRODUCTIVE MEDICINE;;;;1
REPRODUCTIVE OBJECTIFICATION;;;;1
REPRODUCTIVE ORGANS;;;;1
REPRODUCTIVE PEDAGOGY;;;;1
REPRODUCTIVE PLANNING;;;;1
REPRODUCTIVE POSTHUMANISM;;;;1
REPRODUCTIVE POWER;;;;1
REPRODUCTIVE PRACTICES;;;;1
REPRODUCTIVE PSYCHIATRIC;;;;1
REPRODUCTIVE RACIAL;;;;1
REPRODUCTIVE RACISM;;;;1
REPRODUCTIVE RIGHTS-RELATED;;;;1
REPRODUCTIVE SLAVERY;;;;1
REPRODUCTIVE SOLIDARITY;;;;1
REPRODUCTIVE STRATIFICATION;;;;1
REPRODUCTIVE SUBJECTS;;;;1
REPRODUCTIVE WELLBEING;;;;1
REPRODUCTIVE-JUSTICE ANALYSIS;;1;;1
REPRODUCTIVE-JUSTICE APPROACH;;1;;1
REPRODUTIVA AVALIAÇÃO;CARACTER ESPECIAL;;;1
REPRODUTIVA CONTRA-HEGEMÔNICA;CARACTER ESPECIAL;;;1
REPRODUTIVA INIQUIDADES;;;;1
REPRODUTIVA INTERSECCIONALIDADE;;;;1
REPRODUTIVAI FRAMEWORK;;1;;1
REPUBLICAN-CONTROLLED LOUISIANA;;;;1
RE-RIGHTING LAW;;;CRIMINAL JUSTICE;1
RESEARCH ACTIVISM;;;;1
RESEARCH FRAMEWORK;;;;1
RESEARCH INTERNATIONAL;;;;1
RESEARCH INVOLVING;;1;;1
RESEARCH PRACTICE;;;;1
RESEARCH PROTOCOL;;1;;1
