"SR";"TI";"TI_TM"
"BEDDOE E, 2020, CRIT RADIC SOC WORK";"`SOCIAL JUSTICE FOR ALL!' THE RELATIVE SILENCE OF SOCIAL WORK IN ABORTION RIGHTS ADVOCACY";"SOCIAL JUSTICE;RELATIVE SILENCE;ABORTION RIGHTS;RIGHTS ADVOCACY"
"BEDDOE L, 2022, CRIT RADIC SOC WORK";"REPRODUCTIVE JUSTICE, ABORTION RIGHTS AND SOCIAL WORK";"REPRODUCTIVE JUSTICE;JUSTICE ABORTION;ABORTION RIGHTS"
"BEDDOE L, 2023, AOTEAROA N Z SOC WORK";"REPRODUCTIVE JUSTICE: HOLDING THE LINE AND PUSHING FORWARD";"REPRODUCTIVE JUSTICE;JUSTICE HOLDING;PUSHING FORWARD"
"BEGUN S, 2017, J SEX RES";"EXPLORING US SOCIAL WORK STUDENTS' SEXUAL ATTITUDES AND ABORTION VIEWPOINTS";"STUDENTS SEXUAL;SEXUAL ATTITUDES;ABORTION VIEWPOINTS"
"BELASKIE C, 2012, WOMEN";"REPRODUCTIVE JUSTICE AND MIGRANT WOMEN IN GREAT BRITAIN";"REPRODUCTIVE JUSTICE;MIGRANT WOMEN"
"BELL SO, 2024, CONTRACEPTION";"IMPACT OF NEW ABORTION RESTRICTIONS ON PEOPLE IN PRISON: ESTIMATED NUMBER OF INCARCERATED PEOPLE WITHOUT ABORTION ACCESS AND DISTANCE TO ABORTION PROVIDERS";"ABORTION RESTRICTIONS;PRISON ESTIMATED;INCARCERATED PEOPLE;ABORTION ACCESS;ABORTION PROVIDERS"
"BENSON KL, 2019, Reprod. Justice Sex. RIGHTS: Transnatl. Perspect.";"INDIGENOUS REPRODUCTIVE JUSTICE AFTER ADOPTIVE COUPLE V. BABY GIRL (2013)";"INDIGENOUS REPRODUCTIVE;REPRODUCTIVE JUSTICE;ADOPTIVE COUPLE;BABY GIRL"
"BERGMAN ME, 2023, OCCUP HEALTH SCI";"THE DOBBS DECISION AND THE FUTURE OF OCCUPATIONAL HEALTH IN THE US";"DOBBS DECISION;OCCUPATIONAL HEALTH"
"BERRAHOU IK, 2022, CLIN OBSTET GYNECOL";"MANAGEMENT OF MENSTRUATION IN TRANSGENDER AND GENDER NONBINARY ADOLESCENTS";"GENDER NONBINARY;NONBINARY ADOLESCENTS"
"BERRY SL, 2024, J MED HUMANIT";"JUSTICE, EQUITY, DIVERSITY, INCLUSION, AND BELONGING: A HEALTH HUMANITIES CONSORTIUM INITIATIVE";"JUSTICE EQUITY;EQUITY DIVERSITY;DIVERSITY INCLUSION;HEALTH HUMANITIES;HUMANITIES CONSORTIUM;CONSORTIUM INITIATIVE"
"BERTOTTI AM, 2021, SOC SCI MED";"EFFICACY AS SAFETY: DOMINANT CULTURAL ASSUMPTIONS AND THE ASSESSMENT OF CONTRACEPTIVE RISK";"SAFETY DOMINANT;DOMINANT CULTURAL;CULTURAL ASSUMPTIONS;CONTRACEPTIVE RISK"
"BERTOTTI AM, 2024, WOMEN'S Reprod. Health";"HOW IGNORING THE FUNDAMENTAL CAUSES OF MATERNAL MORBIDITY/MORTALITY IMPEDES PROGRESS TOWARD A REPRODUCTIVE JUSTICE MODEL OF CONTRACEPTIVE COUNSELING";"MATERNAL MORBIDITYMORTALITY;MORBIDITYMORTALITY IMPEDES;IMPEDES PROGRESS;REPRODUCTIVE JUSTICE;JUSTICE MODEL;CONTRACEPTIVE COUNSELING"
"BHAKUNI H, 2023, DEV WORLD BIOETH";"REPRODUCTIVE JUSTICE: NON-INTERFERENCE OR NON-DOMINATION?";"REPRODUCTIVE JUSTICE;JUSTICE NON-INTERFERENCE"
"BHATIA M, 2023, IDENTITIES-GLOB STUD CULT POWER";"REPRODUCTIVE INJUSTICE IN BRITAIN: PUNISHING ILLEGALIZED MIGRANT WOMEN FROM THE GLOBAL SOUTH AND SEPARATING FAMILIES ARTICLE";"REPRODUCTIVE INJUSTICE;BRITAIN PUNISHING;PUNISHING ILLEGALIZED;ILLEGALIZED MIGRANT;MIGRANT WOMEN;GLOBAL SOUTH;SEPARATING FAMILIES;FAMILIES ARTICLE"
"BHATIA R, 2016, Indian J. Med. ETHICS";"A REPRODUCTIVE JUSTICE PERSPECTIVE ON THE PURVI PATEL CASE";"REPRODUCTIVE JUSTICE;JUSTICE PERSPECTIVE;PURVI PATEL"
"BHATIA R, 2018, SCI TECHNOL HUM VALUES";"THE BIOMEDICALIZATION OF SOCIAL EGG FREEZING: A COMPARATIVE ANALYSIS OF EUROPEAN AND AMERICAN PROFESSIONAL ETHICS OPINIONS AND US NEWS AND POPULAR MEDIA";"SOCIAL EGG;EGG FREEZING;COMPARATIVE ANALYSIS;AMERICAN PROFESSIONAL;PROFESSIONAL ETHICS;ETHICS OPINIONS;POPULAR MEDIA"
"BLACK L, 2019, LAW Gend. Mod. IRELAND: Crit. Reform";"LAW AND GENDER IN MODERN IRELAND: CRITIQUE AND REFORM";"MODERN IRELAND;IRELAND CRITIQUE"
"BLACKSHAW BP, 2023, J MED ETHICS";"ABORTION POLICIES AT THE BEDSIDE: A RESPONSE";"ABORTION POLICIES"
"BLAKE VK, 2024, COLUMBIA LAW REV";"EMPLOYER-SPONSORED REPRODUCTION";"EMPLOYER-SPONSORED REPRODUCTION"
"BLELL M, 2024, J LESBIAN STUD";"GHOSTS IN THE MACHINE: BLACK FEMINIST AND QUEER CRITIQUES OF REPRODUCTIVE JUSTICE IN FINLAND";"MACHINE BLACK;BLACK FEMINIST;QUEER CRITIQUES;REPRODUCTIVE JUSTICE"
"BLOOM O, 2024, WOMEN'S Reprod. Health";"SUPPORTING INTELLECTUALLY DISABLED WOMEN’S SEXUAL AND REPRODUCTIVE HEALTH AND RIGHTS: A QUALITATIVE STUDY WITH SUPPORT WORKERS IN AOTEAROA NEW ZEALAND";"SUPPORTING INTELLECTUALLY;INTELLECTUALLY DISABLED;DISABLED WOMENS;WOMENS SEXUAL;REPRODUCTIVE HEALTH;QUALITATIVE STUDY;SUPPORT WORKERS"
"BLOOMER F, 2018, REIMAGINING Glob. Abort. POLITICS: Soc. Justice Perspect.";"REIMAGINING GLOBAL ABORTION POLITICS: A SOCIAL JUSTICE PERSPECTIVE";"REIMAGINING GLOBAL;GLOBAL ABORTION;ABORTION POLITICS;SOCIAL JUSTICE;JUSTICE PERSPECTIVE"
"BLOOMER F, 2019, REIMAGINING GLOBAL ABORTION POLITICS: A SOCIAL JUSTICE PERSPECTIVE";"IS CHOICE ENOUGH? ENGAGING WITH REPRODUCTIVE JUSTICE";"REPRODUCTIVE JUSTICE"
"BLOOMER F, 2024, REIMAGINING Faith Abort. Glob. Perspect.";"REIMAGINING FAITH AND ABORTION: A GLOBAL PERSPECTIVE";"REIMAGINING FAITH;GLOBAL PERSPECTIVE"
"BLOOMFIELD EF, 2023, WOMEN STUD COMMUN";"CARE AND CONSTRAINTS IN THE CLIMATE CRISIS: AN INTERSECTIONAL RHETORICAL ANALYSIS OF NEWS COMMENTS ABOUT THE EL DORADO FIRE";"CLIMATE CRISIS;INTERSECTIONAL RHETORICAL;RHETORICAL ANALYSIS;NEWS COMMENTS;EL DORADO;DORADO FIRE"
"BOAKYE PN, 2024, NURS INQ";"``THERE IS NOTHING TO PROTECT US FROM DYING'': BLACK WOMEN'S PERCEIVED SENSE OF SAFETY ACCESSING PREGNANCY AND INTRAPARTUM CARE";"DYING BLACK;BLACK WOMENS;WOMENS PERCEIVED;PERCEIVED SENSE;SAFETY ACCESSING;ACCESSING PREGNANCY;INTRAPARTUM CARE"
"BOBBIE G, 2022, J. Int. WOMEN'S Stud.";"ACADEMIC (ABBREVIATED) REVIEW AND MY THOUGHTS ON “BIRTH- TIME...THE DOCUMENTARY";"ACADEMIC ABBREVIATED;ABBREVIATED REVIEW;BIRTH- TIMETHE;TIMETHE DOCUMENTARY"
"BODELSON S, 2023, Struggl. Reprod. Justice ERA ANTI-GENDERISM Relig. Fundam.";"EVERYDAY BORDERING AND THE STRUGGLE FOR REPRODUCTIVE JUSTICE IN IRELAND";"EVERYDAY BORDERING;REPRODUCTIVE JUSTICE"
"BONAN C, 2024, CAD SAUDE PUBLICA";"HEALTH CARE ITINERARIES FOR WOMEN IN SITUATIONS OF ABORTION: METHODOLOGICAL ASPECTS OF A QUALITATIVE STUDY FOR <I>BIRTH IN BRAZIL II</I> SURVEY";"HEALTH CARE;CARE ITINERARIES;ABORTION METHODOLOGICAL;METHODOLOGICAL ASPECTS;QUALITATIVE STUDY;BRAZIL III;III SURVEY"
"BONAPARTE AD, 2023, BIRTHING JUSTICE: Black Women Pregnancy CHILDBIRTH: Second. Ed.";"BIRTHING JUSTICE: BLACK WOMEN, PREGNANCY, AND CHILDBIRTH: SECOND EDITION";"BIRTHING JUSTICE;JUSTICE BLACK;BLACK WOMEN;WOMEN PREGNANCY"
"BOONE MM, 2024, MINN LAW REV";"REPRODUCTIVE OBJECTIFICATION";"REPRODUCTIVE OBJECTIFICATION"
"BOOTH KM, 2010, SOC POLIT";"A MAGIC BULLET FOR THE ``AFRICAN'' MOTHER? NEO-IMPERIAL REPRODUCTIVE FUTURISM AND THE PHARMACEUTICAL ``SOLUTION'' TO THE HIV/AIDS CRISIS";"MAGIC BULLET;AFRICAN MOTHER;MOTHER NEO-IMPERIAL;NEO-IMPERIAL REPRODUCTIVE;REPRODUCTIVE FUTURISM;PHARMACEUTICAL SOLUTION;HIVAIDS CRISIS"
"BORIS E, 2022, WOMAN HIST";"HISTORY ON TRIAL: THE ABORTION WARS";"ABORTION WARS"
"BOURGUIGNON 2024 SAÚDE EM DEBATE";"Interseccionalidade, direitos humanos e justiça reprodutiva: avaliação crítica em saúde sexual e reprodutiva Interseccionalidade";"INTERSECCIONALIDADE DIREITOS;DIREITOS HUMANOS;JUSTIÇA REPRODUTIVA;REPRODUTIVA AVALIAÇÃO;AVALIAÇÃO CRÍTICA;CRÍTICA EM;EM SAÚDE;SAÚDE SEXUAL;REPRODUTIVA INTERSECCIONALIDADE"
"BOYDELL V, 2022, BIOSOCIETIES";"ADJUSTING THE ANALYTICAL APERTURE: PROPOSITIONS FOR AN INTEGRATED APPROACH TO THE SOCIAL STUDY OF REPRODUCTIVE TECHNOLOGIES";"ANALYTICAL APERTURE;APERTURE PROPOSITIONS;INTEGRATED APPROACH;SOCIAL STUDY;REPRODUCTIVE TECHNOLOGIES"
"BOYS SK, 2024, J TEACH SOC WORK";"TEACHING SOCIAL JUSTICE AFTER THE <I>DOBBS</I> DECISION";"TEACHING SOCIAL;SOCIAL JUSTICE;IDOBBSI DECISION"
"BRADLEY DL, 2024, J RACIAL ETHN HEALTH DISPARITIES";"``BECAUSE I WAS A CRIMINAL AND DRUG ADDICT.'': EXPERIENCES OF ANTI-BLACK GENDERED RACISM AND REPRODUCTIVE INJUSTICE AMONG BLACK PREGNANT AND POSTPARTUM WOMEN WITH A SUBSTANCE USE DISORDER AND INCARCERATION AND FAMILY POLICING HISTORIES";"DRUG ADDICT;ADDICT EXPERIENCES;ANTI-BLACK GENDERED;GENDERED RACISM;REPRODUCTIVE INJUSTICE;BLACK PREGNANT;POSTPARTUM WOMEN;FAMILY POLICING;POLICING HISTORIES"
"BRANDAO ER, 2021, CIENC SAUDE COLETIVA";"YOUTH, GENDER AND REPRODUCTIVE JUSTICE: HEALTH INEQUITIES IN FAMILY PLANNING IN BRAZIL'S UNIFIED HEALTH SYSTEM";"YOUTH GENDER;REPRODUCTIVE JUSTICE;JUSTICE HEALTH;HEALTH INEQUITIES;FAMILY PLANNING;BRAZILS UNIFIED;UNIFIED HEALTH;HEALTH SYSTEM"
"BRANDAO ER, 2021, INTERFACE-COMUN SAUDE EDUC";"REPRODUCTIVE JUSTICE AND GENDER: THEORETICAL AND POLITICAL CHALLENGES IN BRAZIL AMPLIFIED BY THE COVID-19 PANDEMIC";"REPRODUCTIVE JUSTICE;GENDER THEORETICAL;POLITICAL CHALLENGES;BRAZIL AMPLIFIED;COVID- PANDEMIC"
"BRANDI K, 2020, AM J OBSTET GYNECOL";"THE HISTORY OF TIERED-EFFECTIVENESS CONTRACEPTIVE COUNSELING AND THE IMPORTANCE OF PATIENT-CENTERED FAMILY PLANNING CARE";"TIERED-EFFECTIVENESS CONTRACEPTIVE;CONTRACEPTIVE COUNSELING;PATIENT-CENTERED FAMILY;FAMILY PLANNING;PLANNING CARE"
"BRANDÃO 2021 CIÊNCIA &AMP; SAÚDE COLETIVA";"Juventude, gênero e justiça reprodutiva: iniquidades em saúde no planejamento reprodutivo no Sistema Único de Saúde";"JUVENTUDE GÊNERO;JUSTIÇA REPRODUTIVA;REPRODUTIVA INIQUIDADES;INIQUIDADES EM;EM SAÚDE;PLANEJAMENTO REPRODUTIVO;SISTEMA ÚNICO;ÚNICO DE;DE SAÚDE"
"BRANDÃO 2021 HORIZONTES ANTROPOLÓGICOS";"Vidas precárias: tecnologias de governo e modos de gestão da fecundidade de mulheres “vulneráveis”";"VIDAS PRECÁRIAS;PRECÁRIAS TECNOLOGIAS;TECNOLOGIAS DE;DE GOVERNO;MODOS DE;DE GESTÃO;GESTÃO DA;DA FECUNDIDADE;FECUNDIDADE DE;DE MULHERES;MULHERES VULNERÁVEIS"
"BRANDÃO 2021 INTERFACE - COMUNICAÇÃO, SAÚDE, EDUCAÇÃO";"Justiça reprodutiva e gênero: desafios teórico-políticos acirrados pela pandemia de Covid-19 no Brasil";"JUSTIÇA REPRODUTIVA;GÊNERO DESAFIOS;DESAFIOS TEÓRICO-POLÍTICOS;TEÓRICO-POLÍTICOS ACIRRADOS;ACIRRADOS PELA;PELA PANDEMIA;PANDEMIA DE;DE COVID-"
"BRANDÃO ER, 2021, HORIZONTES Antropol.";"PRECARIOUS LIVES: GOVERNMENT TECHNOLOGIES AND MANAGEMENT MODES OF “VULNERABLE” WOMEN'S FERTILITY; [VIDAS PRECÁRIAS: TECNOLOGIAS DE GOVERNO E MODOS DE GESTÃO DA FECUNDIDADE DE MULHERES “VULNERÁVEIS”]";"PRECARIOUS LIVES;LIVES GOVERNMENT;GOVERNMENT TECHNOLOGIES;MANAGEMENT MODES;VULNERABLE WOMENS;WOMENS FERTILITY;FERTILITY VIDAS;VIDAS PRECÁRIAS;PRECÁRIAS TECNOLOGIAS;TECNOLOGIAS DE;DE GOVERNO;MODOS DE;DE GESTÃO;GESTÃO DA;DA FECUNDIDADE;FECUNDIDADE DE;DE MULHERES;MULHERES VULNERÁVEIS"
"BRAUN V, 2012, Reprod. JUSTICE: Glob. Concern";"FEMALE GENITAL CUTTING AROUND THE GLOBE: A MATTER OF REPRODUCTIVE JUSTICE?";"FEMALE GENITAL;GENITAL CUTTING;REPRODUCTIVE JUSTICE"
"BRAY SRM, 2021, FRONT PUBLIC HEALTH";"DEMOLISHING THE MYTH OF THE DEFAULT HUMAN THAT IS KILLING BLACK MOTHERS";"DEFAULT HUMAN;KILLING BLACK;BLACK MOTHERS"
"BRENNAN K, 2023, J MIDWIFERY WOMEN HEALTH";"PROVIDING INPATIENT CONTRACEPTION CARE WITHIN A REPRODUCTIVE JUSTICE FRAMEWORK";"PROVIDING INPATIENT;INPATIENT CONTRACEPTION;CONTRACEPTION CARE;REPRODUCTIVE JUSTICE;JUSTICE FRAMEWORK"
"BRIAN JD, 2020, HEALTH SOCIOL REV";"THE AGE OF LARC: MAKING SEXUAL CITIZENS ON THE FRONTIERS OF TECHNOSCIENTIFIC HEALTHISM";"SEXUAL CITIZENS;TECHNOSCIENTIFIC HEALTHISM"
"BRIDGEWATER PD, 2009, LAW LIT";"LEGAL STORIES AND THE PROMISE OF PROBLEMATIZING REPRODUCTIVE RIGHTS";"LEGAL STORIES;PROBLEMATIZING REPRODUCTIVE;REPRODUCTIVE RIGHTS"
"BRIGGS L, 2013, FRONTIERS";"ROUNDTABLE: REPRODUCTIVE TECHNOLOGIES AND REPRODUCTIVE JUSTICE";"ROUNDTABLE REPRODUCTIVE;REPRODUCTIVE TECHNOLOGIES;REPRODUCTIVE JUSTICE"
"BRIGGS L, 2013, FRONTIERS-J WOMEN STUD";"ROUNDTABLE <I>REPRODUCTIVE TECHNOLOGIES AND REPRODUCTIVE JUSTICE</I>";"ROUNDTABLE IREPRODUCTIVE;IREPRODUCTIVE TECHNOLOGIES;REPRODUCTIVE JUSTICEI"
"BRIGGS L, 2022, GEND WORK ORGAN";"REPRODUCTIVE JUSTICE: BORN TRANSNATIONAL COMMENT";"REPRODUCTIVE JUSTICE;JUSTICE BORN;BORN TRANSNATIONAL;TRANSNATIONAL COMMENT"
"BRISSON J, 2024, J ADOLESC RES";"COLOMBIAN ADOLESCENTS' PERCEPTIONS OF AUTONOMY AND ACCESS TO SEXUAL AND REPRODUCTIVE HEALTH CARE SERVICES: AN ETHICAL ANALYSIS";"COLOMBIAN ADOLESCENTS;ADOLESCENTS PERCEPTIONS;REPRODUCTIVE HEALTH;HEALTH CARE;CARE SERVICES;ETHICAL ANALYSIS"
"BRISSON J, 2024, MED HUMANIT";"EMPOWERING THE NEXT GENERATION: INTEGRATING ADOLESCENTS INTO THE REPRODUCTIVE JUSTICE MOVEMENT";"GENERATION INTEGRATING;INTEGRATING ADOLESCENTS;REPRODUCTIVE JUSTICE;JUSTICE MOVEMENT"
"BRITO 2024 PHYSIS: REVISTA DE SAÚDE COLETIVA";"Lições de Justiça Reprodutiva para catalisar estratégias de incidência durante a crise do Zika no Brasil";"LIÇÕES DE;DE JUSTIÇA;JUSTIÇA REPRODUTIVA;REPRODUTIVA PARA;PARA CATALISAR;CATALISAR ESTRATÉGIAS;ESTRATÉGIAS DE;DE INCIDÊNCIA;INCIDÊNCIA DURANTE"
"BRITO L, 2024, PHYSIS";"REPRODUCTIVE JUSTICE LESSONS FOR CATALYZING ADVOCACY STRATEGIES DURING ZIKA CRISIS IN BRAZIL; [LIÇÕES DE JUSTIÇA REPRODUTIVA PARA CATALISAR ESTRATÉGIAS DE INCIDÊNCIA DURANTE A CRISE DO ZIKA NO BRASIL]";"REPRODUCTIVE JUSTICE;JUSTICE LESSONS;CATALYZING ADVOCACY;ADVOCACY STRATEGIES;ZIKA CRISIS;BRAZIL LIÇÕES;LIÇÕES DE;DE JUSTIÇA;JUSTIÇA REPRODUTIVA;REPRODUTIVA PARA;PARA CATALISAR;CATALISAR ESTRATÉGIAS;ESTRATÉGIAS DE;DE INCIDÊNCIA;INCIDÊNCIA DURANTE"
"BRITT AJ, 2021, J MIDWIFERY WOMEN HEALTH";"THE CONVERGENCE OF COVID-19 AND SYSTEMIC RACISM: AN EVALUATION OF CURRENT EVIDENCE, HEALTH SYSTEM CHANGES, AND SOLUTIONS GROUNDED IN REPRODUCTIVE JUSTICE";"SYSTEMIC RACISM;CURRENT EVIDENCE;EVIDENCE HEALTH;HEALTH SYSTEM;SOLUTIONS GROUNDED;REPRODUCTIVE JUSTICE"
"BRODERICK C, 2023, BULL LAT AM RES";"INSURGENT BODIES IN CULTURAL RESPONSES TO REPRODUCTIVE JUSTICE IN CHILE AND IRELAND";"INSURGENT BODIES;CULTURAL RESPONSES;REPRODUCTIVE JUSTICE"
"BROTT H, 2023, J COMMUNITY PSYCHOL";"REPRODUCTIVE JUSTICE FOR UNHOUSED WOMEN: AN INTEGRATIVE REVIEW OF THE LITERATURE";"REPRODUCTIVE JUSTICE;UNHOUSED WOMEN;INTEGRATIVE REVIEW"
"BROWN BP, 2019, SURG CLIN-NORTH AM";"PALLIATIVE CARE AND THE PREGNANT SURGICAL PATIENT EPIDEMIOLOGY, ETHICS, AND CLINICAL GUIDANCE";"PALLIATIVE CARE;PREGNANT SURGICAL;SURGICAL PATIENT;PATIENT EPIDEMIOLOGY;EPIDEMIOLOGY ETHICS;CLINICAL GUIDANCE"
"BROWN HK, 2024, DISABIL HEALTH J";"PERINATAL HEALTH FRAMEWORK FOR PEOPLE WITH INTELLECTUAL DISABILITY";"PERINATAL HEALTH;HEALTH FRAMEWORK;INTELLECTUAL DISABILITY"
"BROWN K, 2022, QUAL HEALTH RES";"BLACK WOMEN'S LIVED EXPERIENCES OF ABORTION";"BLACK WOMENS;WOMENS LIVED;LIVED EXPERIENCES"
"BROWNE K, 2020, AFTER REPEAL: Rethink. Abort. POLITICS";"AFTER REPEAL: RETHINKING ABORTION POLITICS";"REPEAL RETHINKING;RETHINKING ABORTION;ABORTION POLITICS"
"BROWNE V, 2024, FEM THEORY";"HOW TO DEFEAT MISCARRIAGE STIGMA: FROM `BREAKING THE SILENCE' TO REPRODUCTIVE JUSTICE";"DEFEAT MISCARRIAGE;MISCARRIAGE STIGMA;REPRODUCTIVE JUSTICE"
"BROWNER CH, 2016, Int. Encycl. Public Health";"CULTURAL CONTEXTS OF REPRODUCTIVE HEALTH";"CULTURAL CONTEXTS;REPRODUCTIVE HEALTH"
"BRUNETAUX A, 2022, CONTEMP FR FRANCOPH STUD";"ENTRETIEN AVEC AMANDINE GAY";"ENTRETIEN AVEC;AVEC AMANDINE;AMANDINE GAY"
"BRYANT-DAVIS T, 2012, Reprod. JUSTICE: Glob. Concern";"SEXUAL ASSAULT: A MATTER OF REPRODUCTIVE JUSTICE";"SEXUAL ASSAULT;REPRODUCTIVE JUSTICE"
"BRYSON A, 2021, CURR OPIN PEDIATR";"ADDRESSING LONG-ACTING REVERSIBLE CONTRACEPTION ACCESS, BIAS, AND COERCION: SUPPORTING ADOLESCENT AND YOUNG ADULT REPRODUCTIVE AUTONOMY";"ADDRESSING LONG-ACTING;LONG-ACTING REVERSIBLE;REVERSIBLE CONTRACEPTION;CONTRACEPTION ACCESS;ACCESS BIAS;COERCION SUPPORTING;SUPPORTING ADOLESCENT;ADULT REPRODUCTIVE;REPRODUCTIVE AUTONOMY"
"BRYSON J, 2023, SOC POLIT";"REFUSING AND REDRESSING GESTATIONAL LABOR: A SOCIAL REPRODUCTION ACCOUNT OF ABORTION";"REDRESSING GESTATIONAL;GESTATIONAL LABOR;SOCIAL REPRODUCTION;REPRODUCTION ACCOUNT"
"BUCHBINDER M, 2022, MED ANTHROPOL Q";"SOCIETY FOR MEDICAL ANTHROPOLOGY STATEMENT ON SUPREME COURT DOBBS V. JACKSON WOMEN'S HEALTH ORGANIZATION DECISION";"MEDICAL ANTHROPOLOGY;ANTHROPOLOGY STATEMENT;SUPREME COURT;COURT DOBBS;JACKSON WOMENS;WOMENS HEALTH;HEALTH ORGANIZATION;ORGANIZATION DECISION"
"BURDICK KJ, 2024, AM J PREV MED";"ABORTION RESTRICTIVENESS AND INFANT MORTALITY: AN ECOLOGIC STUDY, 2014-2018";"ABORTION RESTRICTIVENESS;INFANT MORTALITY;ECOLOGIC STUDY"
"BURDICK M, 2024, CULT STUD-CRIT METHODOLOGIES";"``LET'S MAKE THE WOMB SAFE AGAIN'': ETHNOGRAPHIC EXPLORATIONS OF WHITE EVANGELICAL WOMEN'S LANGUAGE OF REPRODUCTIVE INJUSTICE";"WOMB SAFE;ETHNOGRAPHIC EXPLORATIONS;WHITE EVANGELICAL;EVANGELICAL WOMENS;WOMENS LANGUAGE;REPRODUCTIVE INJUSTICE"
"BURGER K, 2022, PUBLIC HEALTH NURS";"REPRODUCTIVE JUSTICE AND BLACK LIVES: A CONCEPT ANALYSIS FOR PUBLIC HEALTH NURSING";"REPRODUCTIVE JUSTICE;BLACK LIVES;CONCEPT ANALYSIS;PUBLIC HEALTH;HEALTH NURSING"
"BURKE L, 2022, ASIA PAC J ANTHROPOL";"MAKING KIN <I>AND</I> POPULATION: COUNTING LIFE IN THE WAKE OF ABANDONMENT IN TIMOR-LESTE";"KIN IANDI;IANDI POPULATION;POPULATION COUNTING;COUNTING LIFE"
"BURKHOLDER C, 2022, Cult. Stud. Transdiscipl. Educ.";"ENGAGING DIY MEDIA-MAKING TO EXPLORE UNCERTAIN AND DYSTOPIC CONDITIONS WITH 2SLGBTQ+ YOUTH AND ALLIES IN NEW BRUNSWICK, CANADA";"ENGAGING DIY;DIY MEDIA-MAKING;EXPLORE UNCERTAIN;DYSTOPIC CONDITIONS;SLGBTQ YOUTH;BRUNSWICK CANADA"
"BURRY K, 2023, DEV WORLD BIOETH";"ILLEGAL ABORTION AND REPRODUCTIVE INJUSTICE IN THE PACIFIC ISLANDS: A QUALITATIVE ANALYSIS OF COURT DATA";"ILLEGAL ABORTION;REPRODUCTIVE INJUSTICE;PACIFIC ISLANDS;QUALITATIVE ANALYSIS;COURT DATA"
"CADENA DS, 2022, AM J PUBLIC HEALTH";"CONTRACEPTIVE CARE USING REPRODUCTIVE JUSTICE PRINCIPLES: BEYOND ACCESS";"CONTRACEPTIVE CARE;REPRODUCTIVE JUSTICE;JUSTICE PRINCIPLES"
"CAIRNS K, 2022, GEND PLACE CULT";"CARING ABOUT WATER IN CAMDEN, NEW JERSEY: SOCIAL REPRODUCTION AGAINST SLOW VIOLENCE";"JERSEY SOCIAL;SOCIAL REPRODUCTION;SLOW VIOLENCE"
"CANDEIAS P, 2021, FRONT PUBLIC HEALTH";"REDUCING SEXUAL AND REPRODUCTIVE HEALTH INEQUITIES BETWEEN NATIVES AND MIGRANTS: A DELPHI CONSENSUS FOR SUSTAINABLE CROSS-CULTURAL HEALTHCARE PATHWAYS";"REDUCING SEXUAL;REPRODUCTIVE HEALTH;HEALTH INEQUITIES;DELPHI CONSENSUS;SUSTAINABLE CROSS-CULTURAL;CROSS-CULTURAL HEALTHCARE;HEALTHCARE PATHWAYS"
"CANTOR AG 2024 RESPECTFUL MATERNITY CARE: DISSEMINATION AND IMPLEMENTATION OF PERINATAL SAFETY CULTURE TO IMPROVE EQUITABLE MATERNAL HEALTHCARE DELIVERY AND OUTCOMES";"Respectful Maternity Care: Dissemination and Implementation of Perinatal Safety Culture To Improve Equitable Maternal Healthcare Delivery and Outcomes";"RESPECTFUL MATERNITY;MATERNITY CARE;CARE DISSEMINATION;PERINATAL SAFETY;SAFETY CULTURE;IMPROVE EQUITABLE;EQUITABLE MATERNAL;MATERNAL HEALTHCARE;HEALTHCARE DELIVERY"
"CANTOR AG, 2024, ANN INTERN MED";"RESPECTFUL MATERNITY CARE: A SYSTEMATIC REVIEW";"RESPECTFUL MATERNITY;MATERNITY CARE;SYSTEMATIC REVIEW"
"CAPO BW, 2022, PALGRAVE Handb. Reprod. Justice Lit.";"INTRODUCTION: REPRODUCTIVE JUSTICE IN LITERATURE AND CULTURE";"INTRODUCTION REPRODUCTIVE;REPRODUCTIVE JUSTICE"
"CAPO BW, 2022, PALGRAVE Handb. Reprod. Justice Lit.-a";"READING REPRODUCTIVE JUSTICE THROUGH TONI MORRISON";"READING REPRODUCTIVE;REPRODUCTIVE JUSTICE;TONI MORRISON"
"CAPO BW, 2022, PALGRAVE Handb. Reprod. Justice Lit.-a-b";"THE PALGRAVE HANDBOOK OF REPRODUCTIVE JUSTICE AND LITERATURE";"PALGRAVE HANDBOOK;REPRODUCTIVE JUSTICE"
"CAPP AI, 2022, MATERN CHILD HEALTH J";"``THEY MAKE YOU FEEL LESS OF A HUMAN BEING'': UNDERSTANDING AND RESPONDING TO MILWAUKEE'S RACIAL DISPARITY IN INFANT MORTALITY";"MILWAUKEES RACIAL;RACIAL DISPARITY;INFANT MORTALITY"
"CAPPELLI M, 2016, COGENT SOC SCI";"TORTURED BODIES, RAPE, AND DISPOSABILITY IN MAHASWETA DEVI'S ``GIRIBALA'' ``DHOWLI'' AND ``DOULOTI THE BOUNTIFUL''";"TORTURED BODIES;BODIES RAPE;MAHASWETA DEVIS;DEVIS GIRIBALA;GIRIBALA DHOWLI"
