"";"SR";"TC";"PY";"TI";"AB";"DI";"DT"
"198";"HOFF E, 2021, J WOMENS HEALTH";8;2021;"REPRODUCTIVE LIFE GOALS: A SYSTEMATIC REVIEW OF PREGNANCY PLANNING INTENTIONS, NEEDS, AND INTERVENTIONS AMONG WOMEN INVOLVED IN US CRIMINAL JUSTICE SYSTEMS";"WOMEN INVOLVED IN CRIMINAL JUSTICE SYSTEMS (WICJ) ARE AFFECTED BY MULTILEVEL BIOLOGICAL AND SOCIOCULTURAL FACTORS THAT RESULT IN ADVERSE HEALTH OUTCOMES AND HEALTH DISPARITIES. CRIMINAL JUSTICE SYSTEMS (CJS) MUST BE APPROPRIATELY RESOURCED TO ADDRESS THESE ISSUES. WE DEVELOPED A SYSTEMATIC REVIEW TO UNDERSTAND THE INTENTIONS AND NEEDS FOR PREGNANCY PREVENTION AND PLANNING AMONG WICJ TO INFORM FUTURE REPRODUCTIVE HEALTH SERVICES. WE CONDUCTED A SYSTEMATIC LITERATURE REVIEW OF EPIDEMIOLOGIC AND INTERVENTIONAL STUDIES THAT ADDRESSED THE PREGNANCY PREVENTION AND PLANNING NEEDS OF US WICJ (2000-2019). AN INITIAL SCREEN IDENTIFIED 7061 ARTICLES AND 3 INDEPENDENT REVIEWERS DETERMINED THAT 28 ARTICLES (16 DESCRIPTIVE STUDIES IN ADULTS, 7 DESCRIPTIVE STUDIES IN ADOLESCENTS, AND 5 INTERVENTIONAL STUDIES) MET INCLUSION CRITERIA. THE LITERATURE REVIEW IDENTIFIED HIGH RATES OF CONTRACEPTION UNDERUTILIZATION AND NEGATIVE ATTITUDES TOWARD PREGNANCY AMONG WICJ IN A WIDE VARIETY OF SETTINGS. WICJ DESCRIBED MINIMAL ACCESS TO REPRODUCTIVE HEALTH SERVICES, INCLUDING EVIDENCE-BASED CONTRACEPTION, AND EXPERIENCED HIGH RATES OF UNPLANNED AND UNDESIRED PREGNANCIES. RESULTS WERE INTERPRETED IN THE CONTEXT OF THE REPRODUCTIVE JUSTICE (RJ) FRAMEWORK. THE CJS, ALTHOUGH NOT DESIGNED TO PROVIDE HEALTH CARE, SHOULD DEDICATE RESOURCES TO ADDRESS THE MULTILEVEL BARRIERS TO CARE EXPERIENCED BY WOMEN. WICJ REQUIRE TARGETED, GENDER-RESPONSIVE, TRAUMA-INFORMED PREGNANCY PREVENTION AND PLANNING INTERVENTIONS THAT ACKNOWLEDGE THE HISTORY OF REPRODUCTIVE COERCION IN THIS POPULATION AND ADDRESS KEY ASPECTS OF RJ, INCLUDING THE RIGHT TO AND TO NOT HAVE A CHILD.";"10.1089/jwh.2019.7951";"REVIEW"
"199";"KLANN EM, 2020, PSYCHOL WOMEN Q";8;2020;"A PREGNANCY DECISION-MAKING MODEL: PSYCHOLOGICAL, RELATIONAL, AND CULTURAL FACTORS AFFECTING UNINTENDED PREGNANCY";"EMPIRICAL DATA FROM THE PAST 50 YEARS HAVE ILLUMINATED SOME OF THE FACTORS THAT INFLUENCE PREGNANCY DECISION-MAKING. YET, FORMAL MODELS OF PREGNANCY DECISION-MAKING ARE UNCOMMON AND RARELY INCORPORATE CULTURAL PERSPECTIVES. IN ORDER TO ADDRESS THIS GAP IN THE LITERATURE, WE PROPOSE THE PREGNANCY DECISION-MAKING MODEL (PDMM), A COMPREHENSIVE MODEL OF THE FACTORS THAT ARE LIKELY TO AFFECT PREGNANCY DECISIONS IN THE CONTEXT OF UNINTENDED PREGNANCY, WITH SPECIAL ATTENTION TO RELATIONAL AND INTERSECTIONAL COMPONENTS OF PREGNANCY DECISIONS. THE PDMM BEGINS WITH THREE PRIMARY EVALUATION FACTORS: EVALUATION OF CAPITAL, EVALUATION OF VALUES, AND EVALUATION OF NARRATIVES. BARRIERS TO ACCESS ARE PROPOSED TO BE A KEY FACTOR IN LIMITING AGENCY AND AUTONOMY AND DETERMINING PREGNANCY OUTCOMES. SOCIAL INFLUENCES ARE ALSO HYPOTHESIZED TO INFLUENCE EVALUATION FACTORS AND THEIR RELATIONSHIP WITH OUTCOME VARIABLES, WHICH INCLUDE THE PREGNANCY OUTCOME, DECISIONAL CERTAINTY, AND DECISIONAL SATISFACTION. AS THE PDMM IS DESIGNED TO BE FLEXIBLE IN ITS PREDICTION OF A VARIETY OF OUTCOMES, WE CONSIDER A NUMBER OF POSSIBLE PERMUTATIONS OF THE MODEL. FINALLY, WE DISCUSS THE UTILITY OF THE PDMM FOR INSPIRING FUTURE RESEARCH, AS WELL AS THE PRACTICAL IMPLICATIONS OF THE MODEL.";"10.1177/0361684320904321";"ARTICLE"
"200";"BARNES L, 2020, SOCIOL COMPASS";8;2020;"REPRODUCTIVE JUSTICE FOR THE INVISIBLE INFERTILE: A CRITICAL EXAMINATION OF REPRODUCTIVE SURVEILLANCE AND STRATIFICATION";"THE ABILITY TO DECIDE IF, WHEN, AND HOW OFTEN TO REPRODUCE IS A HUMAN RIGHT AND A BIOMEDICAL AND SOCIOPOLITICAL GOAL. INFERTILITY IMPINGES UPON THIS RIGHT BY RESTRICTING THE ABILITY OF INDIVIDUALS AND COUPLES TO MEET THEIR REPRODUCTIVE DESIRES. WHILE BIOMEDICAL INTERVENTIONS TO ADDRESS INFERTILITY HAVE PROLIFERATED RECENTLY, THEIR DISTRIBUTION HAS BEEN INEQUITABLE; INEQUALITIES IN RATES OF INFERTILITY, INFERTILITY-SPECIFIC DISTRESS, AND ACCESS TO REPRODUCTIVE HEALTHCARE TO ADDRESS INFERTILITY ABOUND. USING A REPRODUCTIVE JUSTICE FRAMEWORK, AND FOCUSING ON THE UNITED STATES, WE EXAMINE THE COLLECTION AND UTILIZATION OF THE INTEGRATED FERTILITY SURVEY SERIES, THE INCEPTION AND PROVISIONS OF TITLE X, AND THE STRUCTURAL LIMITATIONS OF THE PRIVATE HEALTHCARE SYSTEM. THIS ANALYSIS HIGHLIGHTS SYSTEMATIC AND LINKED EXCLUSIONS OF MARGINALIZED GROUPS FROM REPRODUCTIVE HEALTH SURVEILLANCE AND THE PUBLIC AND PRIVATE PROVISION OF REPRODUCTIVE HEALTHCARE, INCLUDING OLDER, NON-WHITE, WORKING CLASS, LGBTQ, GEOGRAPHICALLY REMOTE, LESS EDUCATED, HIV-POSITIVE, INSTITUTIONALIZED, AND DISABLED INDIVIDUALS. INDIVIDUALS WHO ARE EXCLUDED FROM INFERTILITY TRACKING, SERVICES, AND TREATMENT-THE INVISIBLE INFERTILE-ARE LIMITED IN THEIR ABILITY TO REALIZE THEIR HUMAN RIGHT TO REPRODUCTIVE HEALTH. UTILIZING EXISTING RESOURCES IN PUBLIC AND PRIVATE CLINICAL SPACES MAY BE A USEFUL STARTING POINT FOR ADDRESSING THESE DISPARITIES, BUT A BROADER COMMITMENT TO EQUITABLE AND INCLUSIVE SURVEILLANCE AND HEALTHCARE PROVISION IS ALSO NEEDED.";"10.1111/soc4.12745";"ARTICLE"
"201";"MOLAS A, 2020, TAPUYA - LAT AM SCI TECHNOL SOC";8;2020;"SELECTING WOMEN, TAMING BODIES? BODY ONTOLOGIES IN EGG DONATION PRACTICES IN SPAIN";"ACCORDING TO THE SPANISH LAW OF ASSISTED REPRODUCTION, WOMEN INTENDING TO DONATE EGGS MUST BE ``IN GOOD PSYCHOPHYSICAL HEALTH'' AND ``DO NOT SUFFER FROM GENETIC OR INFECTIOUS HEREDITARY DISEASES TRANSMISSIBLE TO THE OFFSPRING'' (CHAPTER II, ARTICLE 5). WHAT A ``GOOD'' PSYCHOPHYSICAL HEALTH CONDITION IS, WHAT THE ``TRANSMISSIBLE DISEASES'' ARE, AND WHAT COUNTS AS DISEASE AT ALL REMAINS CONTESTED. IN THIS PAPER, WE EXPLORE HOW THESE BROAD LEGAL CRITERIA MATERIALIZE THROUGH DIFFERENT TESTS AND SELECTION PROCEDURES. DRAWING ON EXTENSIVE ETHNOGRAPHIC FIELDWORK IN SPANISH FERTILITY CLINICS AND WITH EGG DONORS IN SPAIN, WE ARGUE THAT SELECTION AND MANAGEMENT PROCEDURES ARE ORGANIZED TO SPLIT EGG DONORS AS ``MULTIPLE BODIES'' (MOL 2002), WHICH WILL HAVE TO BE TAMED IN DIFFERENT WAYS. ON THE ONE HAND, WE WILL REFER TO THE MAKING OF A ``BIOGRAPHICAL SUBJECT,'' FOR WHICH WE UNDERSTAND THE DONOR TO BE A CONSCIOUS AUTONOMOUS SUBJECT. AND ON THE OTHER HAND, WE REFER TO THE ``BODY OBJECT,'' FOR WHICH WE UNDERSTAND THE DONOR TO BE A TERRAIN OF POTENTIAL EXTRACTABILITY. AS WE ARGUE, CLINICS AIM TO SELECT A RESPONSIBLE BIOGRAPHICAL SUBJECT WHO KINDLY OBEYS PROFESSIONALS' INSTRUCTIONS THROUGHOUT THE PROCESS IN ORDER TO MAKE THE BODY OBJECT ACCESSIBLE TO CLINICS' EXTRACTION PURPOSES. TO CONCLUDE, OUR PAPER SHEDS LIGHT ON ISSUES OF ``REPRODUCTIVE IN/JUSTICE'' BY DISCUSSING HOW THE REPRODUCTIVE RIGHTS OF INTENDED PARENTS THROUGH EGG DONATION ARE ENTANGLED WITH INEQUALITIES OF EGG DONORS.";"10.1080/25729861.2020.1781371";"ARTICLE"
"202";"FANNIN M, 2019, BODY SOC";8;2019;"LABOUR PAIN, `NATAL POLITICS' AND REPRODUCTIVE JUSTICE FOR BLACK BIRTH GIVERS";"THE RECEPTION OF ELAINE SCARRY'S LANDMARK TEXT, THE BODY IN PAIN, FOCUSES IN PART ON EXPLORING HOW PAIN MIGHT BE UNDERSTOOD AS BENEFICIAL OR THERAPEUTIC. CHILDBIRTH IS OFTEN CITED AS THE PARADIGMATIC INSTANCE OF THIS KIND OF BENEFICIAL PAIN. THIS ESSAY EXAMINES CONCEPTUALIZATIONS OF LABOUR PAIN IN BIOMEDICAL, NATURAL CHILDBIRTH AND REPRODUCTIVE JUSTICE MOVEMENTS THAT EXPLORE THE LIMITS OF SCARRY'S DESCRIPTION OF PAIN AS `UNSHAREABLE'. POLITICAL STRUGGLES OVER PAIN IN CHILDBIRTH CENTRE ON THE LEGIBILITY OF PAIN IN LABOUR. FEMINIST AND NATURAL CHILDBIRTH ACTIVISTS HAVE DEVELOPED AN UNDERSTANDING OF PAIN AT BIRTH AS CENTRAL TO MATERNAL SUBJECTIVITY, WHERE PAIN IS A BIOPOLITICAL FORCE AND ITS MANAGEMENT A MEANS OF SELF-TRANSFORMATION. ALONGSIDE CALLS FOR REPRODUCTIVE JUSTICE, THE ESSAY CONSIDERS HOW THE VISIBILITY AND EXPRESSIVITY OF LABOUR PAIN COULD CONTRIBUTE TO WHAT IMOGEN TYLER AND LISA BARAITSER TERM A NEW `NATAL POLITICS' THAT ADDRESSES CONCERNS FOR THE DISPROPORTIONATE INJURY AND DEATH EXPERIENCED BY BLACK BIRTH GIVERS.";"10.1177/1357034X19856429";"ARTICLE"
"203";"SILVERMAN ME, 2019, INFANT MENT HEALTH J";8;2019;"REFLECTIVE CAPACITY: AN ANTIDOTE TO STRUCTURAL RACISM CULTIVATED THROUGH MENTAL HEALTH CONSULTATION";"EFFECTING A PARADIGM SHIFT FROM ``REPRODUCTIVE HEALTH'' TO ``REPRODUCTIVE JUSTICE'' WITHIN THE PERINATAL FIELD REQUIRES CHANGES SIMULTANEOUSLY AT THE LEVELS OF THE INDIVIDUAL HEALTHCARE PROVIDER AND THE SYSTEM OF CARE. THE INFANT-PARENT PROGRAM AT THE UNIVERSITY OF CALIFORNIA, SAN FRANCISCO (UCSF) HAS EXTENDED ITS PIONEERING INFANT AND EARLY CHILDHOOD MENTAL HEALTH CONSULTATION TO PERINATAL SERVICE SYSTEMS APPLYING AN INFANT MENTAL HEALTH APPROACH TO PROGRAMS CARING FOR EXPECTING AND NEW PARENTS. IN PARTNERSHIP WITH TWO NURSING PROGRAMS, UCSF CONSULTANTS DIRECT THEIR EFFORTS AT SUPPORTING REFLECTIVE PRACTICE CAPACITIES AND USE-OF-SELF IN PATIENT-PROVIDER RELATIONSHIPS. BOTH NURSING PROGRAMS SERVE VULNERABLE GROUPS OF EXPECTANT AND NEW PARENTS WHO GRAPPLE WITH CHALLENGES TO HEALTH AND WELL-BEING STEMMING FROM STRUCTURAL RACISM. AS REFLECTIVE CAPACITIES ARE SUPPORTED WITHIN THE CONSULTATION CASE CONFERENCES, PROVIDERS SPONTANEOUSLY IDENTIFY THE NEED FOR TOOLS TO EFFECTIVELY ADDRESS ISSUES OF RACE, CLASS, AND CULTURE AND TO COMBAT STRUCTURAL RACISM THROUGHOUT THE HEALTHCARE SYSTEM. POLICIES AND PROCEDURES THAT UPHOLD STRUCTURAL RACISM CEASE TO BE TOLERABLE TO PROVIDERS WHO BRING THEIR FULL SELVES TO THE WORK THAT THEY ARE TRAINED TO DO. USING THESE NURSE CONSULTATION PARTNERSHIPS AS ORGANIZATIONAL CASE STUDIES, THIS ARTICLE DESCRIBES A RANGE OF CHALLENGES THAT ARISE FOR PROVIDERS AND DELINEATES STEPS TO EFFECTIVE ENGAGEMENT TOWARD REPRODUCTIVE JUSTICE.";"10.1002/imhj.21807";"ARTICLE"
"204";"NADING A, 2018, MED ANTHROPOL";8;2018;"SOCIAL JUSTICE AS EPIDEMIC CONTROL: TWO LATIN AMERICAN CASE STUDIES";"IN THIS ARTICLE, WE DRAW ON TWO CASESONE OF THE REPRODUCTIVE JUSTICE MOVEMENTS IN THE WAKE OF THE LATIN AMERICAN ZIKA EPIDEMIC, AND ONE OF AN ENVIRONMENTAL JUSTICE MOVEMENTS SPURRED BY AN EPIDEMIC OF CHRONIC KIDNEY DISEASE AMONG SUGARCANE WORKERSTO ARGUE FOR SOCIAL JUSTICE AS AN ELASTIC TECHNOLOGY OF EPIDEMIC CONTROL. IN ITS COMPRESSED FORM, SOCIAL JUSTICE SIMPLY REFERS TO THE FAIR DISTRIBUTION OF MEDICAL GOODS. IN ITS EXPANDED FORM, IT EMPHASIZES THE RECOGNITION AND REPRESENTATION NOT JUST OF MEDICAL PROBLEMS, BUT OF ENTANGLED HISTORIES OF RACIAL, GENDERED, AND ECONOMIC INEQUITY.";"10.1080/01459740.2018.1485021";"ARTICLE"
"205";"CANTOR AG, 2024, ANN INTERN MED";7;2024;"RESPECTFUL MATERNITY CARE: A SYSTEMATIC REVIEW";"BACKGROUND: SEVERE MATERNAL MORBIDITY AND MORTALITY ARE WORSE IN THE UNITED STATES THAN IN ALL SIMILAR COUNTRIES, WITH THE GREATEST EFFECT ON BLACK WOMEN. EMERGING RESEARCH SUGGESTS THAT DISRESPECTFUL CARE DURING CHILDBIRTH CONTRIBUTES TO THIS PROBLEM.PURPOSE: TO CONDUCT A SYSTEMATIC REVIEW ON DEFINITIONS AND VALID MEASUREMENTS OF RESPECTFUL MATERNITY CARE (RMC), ITS EFFECTIVENESS FOR IMPROVING MATERNAL AND INFANT HEALTH OUTCOMES FOR THOSE WHO ARE PREGNANT AND POSTPARTUM, AND STRATEGIES FOR IMPLEMENTATION.DATA SOURCES: SYSTEMATIC SEARCHES OF OVID MEDLINE, CINAHL, EMBASE, COCHRANE CENTRAL REGISTER OF CONTROLLED TRIALS, PSYCINFO, AND SOCINDEX FOR ENGLISH-LANGUAGE STUDIES (INCEPTION TO JULY 2023).STUDY SELECTION: RANDOMIZED CONTROLLED TRIALS AND NONRANDOMIZED STUDIES OF INTERVENTIONS OF RMC VERSUS USUAL CARE FOR EFFECTIVENESS STUDIES; ADDITIONAL QUALITATIVE AND NONCOMPARATIVE VALIDATION STUDIES FOR DEFINITIONS AND MEASUREMENT STUDIES.DATA EXTRACTION: DUAL DATA ABSTRACTION AND QUALITY ASSESSMENT USING ESTABLISHED METHODS, WITH RESOLUTION OF DISAGREEMENTS THROUGH CONSENSUS.DATA SYNTHESIS: THIRTY-SEVEN STUDIES WERE INCLUDED ACROSS ALL QUESTIONS, OF WHICH 1 PROVIDED INSUFFICIENT EVIDENCE ON THE EFFECTIVENESS OF RMC TO IMPROVE MATERNAL OUTCOMES AND NONE STUDIED RMC TO IMPROVE INFANT OUTCOMES. TO DEFINE RMC, AUTHORS IDENTIFIED 12 RMC FRAMEWORKS, FROM WHICH 2 MAIN CONCEPTS WERE IDENTIFIED: DISRESPECT AND ABUSE AND RIGHTS-BASED FRAMEWORKS. DISRESPECT AND ABUSE COMPONENTS FOCUSED ON RECOGNIZING BIRTH MISTREATMENT; RIGHTS-BASED FRAMEWORKS INCORPORATED ASPECTS OF REPRODUCTIVE JUSTICE, HUMAN RIGHTS, AND ANTIRACISM. FIVE OVERLAPPING FRAMEWORK THEMES INCLUDE FREEDOM FROM ABUSE, CONSENT, PRIVACY, DIGNITY, COMMUNICATION, SAFETY, AND JUSTICE. TWELVE TOOLS TO MEASURE RMC WERE VALIDATED IN 24 STUDIES ON CONTENT VALIDITY, CONSTRUCT VALIDITY, AND INTERNAL CONSISTENCY, BUT LACK OF A GOLD STANDARD LIMITED EVALUATION OF CRITERION VALIDITY. THREE TOOLS SPECIFIC FOR RMC HAD AT LEAST 1 STUDY DEMONSTRATING CONSISTENCY INTERNALLY AND WITH AN INTENDED CONSTRUCT RELEVANT TO U.S. SETTINGS, BUT NO SINGLE TOOL STANDS OUT AS THE BEST MEASURE OF RMC.LIMITATIONS: NO STUDIES EVALUATED OTHER HEALTH OUTCOMES OR RMC IMPLEMENTATION STRATEGIES. THE LACK OF DEFINITION AND GOLD STANDARD LIMIT EVALUATION OF RMC TOOLS.CONCLUSION: FRAMEWORKS FOR RMC ARE WELL DESCRIBED BUT VARY IN THEIR DEFINITIONS. TOOLS TO MEASURE RMC DEMONSTRATE CONSISTENCY BUT LACK A GOLD STANDARD, REQUIRING FURTHER EVALUATION BEFORE IMPLEMENTATION IN U.S. SETTINGS. EVIDENCE IS LACKING ON THE EFFECTIVENESS OF IMPLEMENTING RMC TO IMPROVE ANY MATERNAL OR INFANT HEALTH OUTCOME.PRIMARY FUNDING SOURCE: AGENCY FOR HEALTHCARE RESEARCH AND QUALITY. (PROSPERO: CRD42023394769)";"10.7326/M23-2676";"REVIEW"
"206";"SUAREZ-BALCAZAR Y, 2024, AM J COMMUNITY PSYCHOL";7;2024;"REPRODUCTIVE JUSTICE FOR BLACK, INDIGENOUS, WOMEN OF COLOR: UPROOTING RACE AND COLONIALISM";"HISTORICALLY, ATROCITIES AGAINST BLACK, INDIGENOUS, AND WOMEN OF COLOR'S (BIWOC) REPRODUCTIVE RIGHTS HAVE BEEN COMMITTED AND CONTINUE TO TAKE PLACE IN CONTEMPORARY SOCIETY. THE ATROCITIES AGAINST BIWOC HAVE BEEN FUELED BY WHITE SUPREMACY IDEOLOGY OF THE ``DESIRABLE RACE'' AND COLONIAL VIEWS TOWARD CONTROLLING POVERTY AND POPULATION GROWTH, PARTICULARLY THAT OF ``UNDESIRABLE'' RACES AND ETHNICITIES. GROUNDED IN CRITICAL RACE THEORY, THIS PAPER AIMS TO PROVIDE A CRITICAL ANALYSIS OF HISTORICAL AND CONTEMPORARY VIOLATIONS OF BIWOC REPRODUCTIVE RIGHTS; DISCUSS INTERVENTIONS BASED ON EMPOWERMENT AND ADVOCACY PRINCIPLES DESIGNED TO PROMOTE WOMEN'S REPRODUCTIVE JUSTICE; AND DISCUSS IMPLICATIONS FOR FUTURE RESEARCH, ACTION, AND POLICY FROM THE LENSES OF CRITICAL RACE THEORY AND COMMUNITY PSYCHOLOGY. THIS PAPER CONTRIBUTES TO THE SPECIAL ISSUE BY CRITICALLY ANALYZING HISTORICAL AND CONTEMPORARY RACISM AND COLONIALISM AGAINST BIWOC, DISCUSSING IMPLICATIONS FOR FUTURE RESEARCH AND PRACTICE, AND MAKING POLICY RECOMMENDATIONS.";"10.1002/ajcp.12650";"ARTICLE"
"207";"AMANI B, 2022, ETHN DIS";7;2022;"INTEGRATED METHODS FOR APPLYING CRITICAL RACE THEORY TO QUALITATIVE COV ID-19 EQUITY RESEARCH";"BACKGROUND: RACISM PERSISTS, UNDERSCORING THE NEED TO RAPIDLY DOCUMENT THE PERSPECTIVES AND EXPERIENCES OF BLACK, INDIGENOUS AND PEOPLE OF COLOR (BIPOC) GROUPS AS WELL AS MARGINALIZED POPULATIONS (EG, FORMERLY INCARCERATED PEOPLE) DURING PANDEMICS. OBJECTIVE: THIS METHODS PAPER OFFERS A MODEL FOR USING PUBLIC HEALTH CRITICAL RACE PRAXIS (PHCRP) AND RELATED CRITICAL METHODOLOGIES (IE, FEMINIST AND DECOLONIZING METHODS) TO INFORM THE CONCEPTUALIZATION, METHODS, AND DISSEMINATION OF QUALITATIVE RESEARCH UNDERTAKEN IN RESPONSE TO THE EVOLVING COVID-19 PANDEMIC. SAMPLE: USING PURPOSIVE SNOWBALL SAMPLING, WE IDENTIFIED ORGANIZATIONS INVOLVED WITH HEALTH EQUITY AND SOCIAL JUSTICE ADVOCACY AMONG BIPOC AND SOCIALLY MARGINALIZED POPULATIONS. FOCUS GROUP PARTICIPANTS (N=63) INCLUDED COMMUNITY MEMBERS, ORGANIZERS, ACTIVISTS, AND HEALTH WORKERS. DESIGN: WE CONDUCTED TOPIC-SPECIFIC (EG, REPRODUCTIVE JUSTICE) AND POPULATION-SPECIFIC (EG, ASIAN AND PACIFIC ISLANDER) FOCUS GROUPS (N=16 FOCUS GROUPS) IN RAPID SUCCESSION USING ZOOM SOFTWARE. METHODS: A SELF-REFLEXIVE, ITERATIVE PRAXIS GUIDED THEORIZATION, DATA COLLECTION AND ANALYSIS. WE OBTAINED COMMUNITY INPUT ON STUDY DESIGN, THE SEMI-STRUCTURED DISCUSSION GUIDE, ETHICAL CONSIDERATIONS AND DISSEMINATION. APPLYING PHCRP, WE ASSESSED OUR ASSUMPTIONS ITERATIVELY. WE TRANSCRIBED EACH INTERVIEW VERBATIM, DE-IDENTIFIED THE DATA, THEN USED TWO DISTINCT QUALITATIVE TECHNIQUES TO CODE AND ANALYZE THEM: THEMATIC ANALYSIS TO IDENTIFY UNIFYING CONCEPTS THAT RECUR ACROSS FOCUS GROUPS AND NARRATIVE ANALYSIS TO KEEP EACH PARTICIPANT'S STORY INTACT. RESULTS: THE PRAXIS FACILITATED RELATIONSHIP-BUILDING WITH PARTNERS AND SUPPORTED THE ITERATIVE ASSESSMENT OF ASSUMPTIONS. LOGISTICAL CONSTRAINTS INCLUDED DIFFICULTY ENSURING THE CONFIDENTIALITY OF VIRTUAL DISCUSSIONS. CONCLUSIONS: THESE NOVEL APPROACHES PROVIDE AN EFFECTIVE MODEL FOR COMMUNITY-ENGAGED QUALITATIVE RESEARCH DURING A PANDEMIC.";"10.18865/ed.32.3.243";"ARTICLE"
"208";"MATTHEIS N, 2022, CHILD-GLOB J CHILD RES";7;2022;"MAKING KIN, NOT BABIES? TOWARDS CHILDIST KINSHIP IN THE ``ANTHROPOCENE''";"TO ``MAKE KIN, NOT BABIES'' IS WHAT DONNA HARAWAY HAS RECENTLY PROPOSED IN RESPONSE TO THE SO-CALLED ``ANTHROPOCENE''. BUILDING ON OTHER CRITICAL ENGAGEMENTS WITH HARAWAY'S PROPOSAL, THIS PAPER INTERROGATES IT FROM A CHILDIST PERSPECTIVE. WHILE STRIVING TOWARDS A ``PRO-CHILD'' POSITION ON KINSHIP, HARAWAY ONLY GOES SO FAR IN EXPLICATING THIS AIM. THE PAPER SUGGESTS THAT CHALLENGING ADULTISM AS WELL AS ATTENTION TO CHILDREN'S ONGOING KINSHIP PRACTICES ARE REQUIRED.";"10.1177/09075682221098155";"ARTICLE"
"209";"TAYLOR F, 2022, FRONT GLOB WOMEN HEALTH";7;2022;"ARE UK POLICIES AND PRACTICES FOR REGULATED DONOR INSEMINATION FORCING WOMEN TO FIND UNREGULATED SPERM DONORS ONLINE? A PERSPECTIVE ON THE AVAILABLE EVIDENCE";"IN RECENT YEARS, THERE HAS BEEN AN INCREASE IN WOMEN OBTAINING DONOR SPERM VIA UNREGULATED WEBSITES AND SOCIAL MEDIA. IN THIS ARTICLE, WE BRING TOGETHER THE DISPARATE EVIDENCE IN THIS EMERGING FIELD TO CONSIDER WHETHER RESTRICTIVE UK POLICIES AND PRACTICES FOR REGULATED CLINICAL DONOR INSEMINATION (DI) ARE A POTENTIAL EXPLANATION FOR THE GROWING USE OF THE CURRENTLY UNREGULATED, ONLINE ROUTE TO DONOR INSEMINATION. TO THIS END, WE EXAMINE THE NATURE OF THE NATIONAL INSTITUTE FOR HEALTH AND CARE EXCELLENCE (NICE) GUIDELINES, RECENT DATA PROVIDED BY THE HUMAN FERTILISATION AND EMBRYOLOGY AUTHORITY (HFEA), AND PRIOR RESEARCH ON WHO USES ONLINE SPERM DONATION AND THEIR REASONS FOR DOING SO. IN ADDITION, WE HIGHLIGHT WHY THIS ISSUE IS IMPORTANT BY OUTLINING SOME OF THE BENEFITS AND DRAWBACKS OF THE UNREGULATED ROUTE. WE ARGUE THAT, WHILST THERE ARE MANY FACTORS DRIVING THE UNREGULATED ROUTE TO DI, RESTRICTIVE UK POLICIES AND PRACTICES FOR REGULATED DI MIGHT BE ONE OF THESE. WE CONCLUDE THAT TURNING OUR ATTENTION TO STRUCTURAL BARRIERS, SUCH AS REGULATED DI POLICIES AND PRACTICES, IS NECESSARY TO PRODUCE MORE DEFINITIVE EVIDENCE OF THIS POTENTIAL ISSUE, AND THAT ADOPTING A REPRODUCTIVE JUSTICE FRAMEWORK COULD LEAD TO MORE EQUITABLE PROVISION OF REGULATED DI SERVICES.";"10.3389/fgwh.2022.644591";"ARTICLE"
"210";"SMITH CW, 2022, POLIT GEND";7;2022;"CONTRACEPTION DESERTS: THE EFFECTS OF TITLE X RULE CHANGES ON ACCESS TO REPRODUCTIVE HEALTH CARE RESOURCES";"HISTORICALLY, ACCESS TO CONTRACEPTION HAS BEEN SUPPORTED IN A BIPARTISAN WAY, BEST EXEMPLIFIED BY CONSISTENT CONGRESSIONAL FUNDING OF TITLE X-THE ONLY FEDERAL PROGRAM SPECIFICALLY FOCUSED ON PROVIDING AFFORDABLE REPRODUCTIVE HEALTH CARE TO AMERICAN RESIDENTS. HOWEVER, IN AN ERA OF PARTISAN POLARIZATION, TITLE X HAS BECOME A POLITICAL AND SYMBOLIC PAWN, IN PART BECAUSE OF ITS CONNECTION TO FAMILY PLANNING ORGANIZATIONS LIKE PLANNED PARENTHOOD. THE CONFLICTS AROUND TITLE X HIGHLIGHT THE EFFECTS OF INTERTWINING ABORTION POLITICS AND CONTRACEPTION POLICY, PARTICULARLY AS THEY RELATE TO REPRODUCTIVE JUSTICE AND GENDERED POLICY MAKING. FAMILY PLANNING ORGANIZATIONS LIKE PLANNED PARENTHOOD HAVE RESPONDED TO THESE BATTLES BY BOWING OUT OF THE TITLE X NETWORK. TO WHAT EXTENT HAVE CONTRACEPTION DESERTS-PLACES CHARACTERIZED BY INEQUITABLE ACCESS TO TITLE X-DEVELOPED OR EXPANDED IN RESPONSE TO POLICY CHANGES RELATED TO CONTRACEPTION AND REPRODUCTIVE HEALTH? WHAT IS THE DEMOGRAPHIC MAKEUP OF THESE SPACES OF INEQUALITY? WE LEVERAGE DATA FROM THE OFFICE OF POPULATION AFFAIRS AND THE U.S. CENSUS BUREAU AND USE THE INTEGRATED TWO-STEP FLOATING CATCHMENT AREA METHOD TO ILLUSTRATE THE EFFECTS OF A MAJOR CHANGE IN THE TITLE X NETWORK IN 10 STATES. OUR RESULTS REVEAL THE WIDESPREAD HUMAN RAMIFICATIONS OF INCREASING CONSTRAINTS ON FAMILY PLANNING ORGANIZATIONS AS A RESULT OF QUIET BUT INSIDIOUS FEDERAL BUREAUCRATIC RULE CHANGES.";"10.1017/S1743923X2100009X";"ARTICLE"
