"";"Term";"Cluster"
"POOR MOTHERS";"POOR MOTHERS";6
"POPULAR FEMINIST";"POPULAR FEMINIST";2
"POPULATION BOMB";"POPULATION BOMB";6
"POPULATION CLIMATE";"POPULATION CLIMATE";4
"POPULATION CONCERNS";"POPULATION CONCERNS";4
"POPULATION CONTROL";"POPULATION CONTROL";4
"POPULATION COUNTING";"POPULATION COUNTING";6
"POPULATION GROWTH";"POPULATION GROWTH";6
"POPULATION HETEROGENEITY";"POPULATION HETEROGENEITY";4
"POPULATION POLICIES";"POPULATION POLICIES";6
"PORA SPEAKING";"PORA SPEAKING";2
"POSITION STATEMENT";"POSITION STATEMENT";4
"POSITIONING SEXUAL";"POSITIONING SEXUAL";5
"POST-CONSTRUCTIONISM REFLECTIONS";"POST-CONSTRUCTIONISM REFLECTIONS";6
"POST-INSERTION COUNSELING";"POST-INSERTION COUNSELING";6
"POST-TRUTH ERAI";"POST-TRUTH ERAI";2
"POSTCOLONIAL INDIA";"POSTCOLONIAL INDIA";5
"POSTCOLONIAL KENYA";"POSTCOLONIAL KENYA";6
"POSTCONFLICT SEXUAL";"POSTCONFLICT SEXUAL";1
"POSTFEMINIST UNWANTED";"POSTFEMINIST UNWANTED";3
"POSTHUMANISME REPRODUCTIU";"POSTHUMANISME REPRODUCTIU";6
"POTENTIAL BUSTS";"POTENTIAL BUSTS";2
"POVERTY GENDER";"POVERTY GENDER";4
"POWER BLACK";"POWER BLACK";1
"POWER INTERSECTIONALITY";"POWER INTERSECTIONALITY";2
"POWER MATTERS";"POWER MATTERS";2
"PRACTICE-LED RESEARCH";"PRACTICE-LED RESEARCH";2
"PRACTICE ASSOCIATIONS";"PRACTICE ASSOCIATIONS";4
"PRACTICE GUIDANCE";"PRACTICE GUIDANCE";3
"PRACTICE LESSONS";"PRACTICE LESSONS";2
"PRACTICE NURSES";"PRACTICE NURSES";1
"PRACTICE SEX-SELECTIVE";"PRACTICE SEX-SELECTIVE";2
"PRACTICES PERFORMANCES";"PRACTICES PERFORMANCES";6
"PRACTICES SHAPING";"PRACTICES SHAPING";4
"PRACTICES SOCIETY";"PRACTICES SOCIETY";6
"PRACTICES UNAFFORDABLE";"PRACTICES UNAFFORDABLE";2
"PRE-BIRTH CHILD";"PRE-BIRTH CHILD";4
"PRE-CLERKSHIP MEDICAL";"PRE-CLERKSHIP MEDICAL";1
"PRECARIOUS LIVES";"PRECARIOUS LIVES";4
"PRECARIOUS REPRODUCTIVE";"PRECARIOUS REPRODUCTIVE";1
"PRECARIOUS ROLE";"PRECARIOUS ROLE";5
"PRECARIOUS STATUS";"PRECARIOUS STATUS";1
"PRECARITY UNDERSTANDING";"PRECARITY UNDERSTANDING";4
"PRECISION MEDICINE";"PRECISION MEDICINE";1
"PRECONCEPTION CONSULT";"PRECONCEPTION CONSULT";1
"PREFIGURATIVE FEMINIST";"PREFIGURATIVE FEMINIST";2
"PREGNANCIES CHOOSING";"PREGNANCIES CHOOSING";4
"PREGNANCY ACT";"PREGNANCY ACT";1
"PREGNANCY FILMS";"PREGNANCY FILMS";3
"PRESERVATION COVERAGE";"PRESERVATION COVERAGE";2
"PRESERVE MINIMUM";"PRESERVE MINIMUM";5
"PRESSING ISSUE";"PRESSING ISSUE";4
"PRETERM BIRTH";"PRETERM BIRTH";2
"PREVALENCE PREVENTIVE";"PREVALENCE PREVENTIVE";1
"PREVENTABLE DEATHS";"PREVENTABLE DEATHS";2
"PREVENTION CRISIS";"PREVENTION CRISIS";3
"PREVENTION PROGRAM";"PREVENTION PROGRAM";4
"PREVENTION TECHNOLOGIES";"PREVENTION TECHNOLOGIES";4
"PREVENTIVE CARE";"PREVENTIVE CARE";1
"PREVENTIVE EUGENICS";"PREVENTIVE EUGENICS";4
"PRIORITY INFANT";"PRIORITY INFANT";1
"PRIVACY PRECARITY";"PRIVACY PRECARITY";6
"PRIVATE ASSISTED";"PRIVATE ASSISTED";4
"PRIVILEGING MIDWIVES";"PRIVILEGING MIDWIVES";5
"PRO-CHOICE DISCOURSE";"PRO-CHOICE DISCOURSE";6
"PRO-CHOICE PARADIGM";"PRO-CHOICE PARADIGM";2
"PRO-FAMILY POLITICS";"PRO-FAMILY POLITICS";6
"PRO-LIFE MOVEMENT";"PRO-LIFE MOVEMENT";4
"PRO-LIFE POLITICS";"PRO-LIFE POLITICS";6
"PRO-VOICE APPROACH";"PRO-VOICE APPROACH";5
"PRO-WOMAN FRAME";"PRO-WOMAN FRAME";5
"PROBLEMATIC FRAMES";"PROBLEMATIC FRAMES";3
"PROBLEMATIZING REPRODUCTIVE";"PROBLEMATIZING REPRODUCTIVE";2
"PROCESSING RACISM";"PROCESSING RACISM";2
"PROCREATIONAL ETHOS";"PROCREATIONAL ETHOS";2
"PROCREATIVE JUSTICE";"PROCREATIVE JUSTICE";2
"PROCREATIVE LIBERTY";"PROCREATIVE LIBERTY";1
"PROCREATIVE MORAL";"PROCREATIVE MORAL";6
"PRODUCTIVE HEALTH";"PRODUCTIVE HEALTH";1
"PROFESSION COMMON";"PROFESSION COMMON";6
"PROFESSIONAL CONTINUUM";"PROFESSIONAL CONTINUUM";1
"PROFESSIONALS ATTITUDES";"PROFESSIONALS ATTITUDES";1
"PROGRESSIVE CHRISTIAN";"PROGRESSIVE CHRISTIAN";5
"PROGRESSIVE REGULATION";"PROGRESSIVE REGULATION";2
"PROMOTE JUSTICE";"PROMOTE JUSTICE";4
"PROMOTES REPRODUCTIVE";"PROMOTES REPRODUCTIVE";4
"PROMOTING ADVOCACY";"PROMOTING ADVOCACY";1
"PROMOTING AUTONOMY";"PROMOTING AUTONOMY";1
"PROMOTING CHOICE";"PROMOTING CHOICE";4
"PROMOTING JUSTICE";"PROMOTING JUSTICE";6
"PROMOTION PROGRAM";"PROMOTION PROGRAM";1
"PRONATALIST POLITICS";"PRONATALIST POLITICS";2
"PROSPECTIVE STUDY";"PROSPECTIVE STUDY";4
"PROTECT ABORTION";"PROTECT ABORTION";5
"PROTECTING BLACK";"PROTECTING BLACK";2
"PROTECTION SYSTEM";"PROTECTION SYSTEM";4
"PROTESTS UTILIZING";"PROTESTS UTILIZING";2
"PROVIDER PERSPECTIVES";"PROVIDER PERSPECTIVES";4
"PROVIDER VERBAL";"PROVIDER VERBAL";2
"PROVIDING CULTURALLY";"PROVIDING CULTURALLY";1
"PROVIDING INPATIENT";"PROVIDING INPATIENT";2
"PROVIDING POST-INSERTION";"PROVIDING POST-INSERTION";6
"PSYCHIATRIC ADVANCE";"PSYCHIATRIC ADVANCE";1
"PSYCHO ONLINE";"PSYCHO ONLINE";5
"PSYCHOANALYTIC POLITICAL";"PSYCHOANALYTIC POLITICAL";2
"PSYCHOLOGICAL RELATIONAL";"PSYCHOLOGICAL RELATIONAL";1
"PSYCHOLOGISTS ADVOCATING";"PSYCHOLOGISTS ADVOCATING";6
"PUBLIC-SECTOR FACILITIES";"PUBLIC-SECTOR FACILITIES";2
"PUBLIC BLACK";"PUBLIC BLACK";2
"PUBLIC MENTAL";"PUBLIC MENTAL";4
"PUBLIC POLICIES";"PUBLIC POLICIES";1
"PUERTO RICAN";"PUERTO RICAN";6
"PUNISHING ILLEGALIZED";"PUNISHING ILLEGALIZED";2
"PUNITIVE TIMES";"PUNITIVE TIMES";5
"PURVI PATEL";"PURVI PATEL";2
"QUALITATIVE APPLICATION";"QUALITATIVE APPLICATION";4
"QUALITATIVE COMMUNITY-LED";"QUALITATIVE COMMUNITY-LED";5
"QUALITATIVE COV";"QUALITATIVE COV";4
"QUALITATIVE META-SYNTHESIS";"QUALITATIVE META-SYNTHESIS";2
"QUALITATIVE MULTILEVEL";"QUALITATIVE MULTILEVEL";1
"QUALITATIVE RESEARCH-TO-POLICY";"QUALITATIVE RESEARCH-TO-POLICY";6
"QUALITATIVE SECONDARY";"QUALITATIVE SECONDARY";2
"QUALITATIVE SURVEY";"QUALITATIVE SURVEY";3
"QUALITY CARE";"QUALITY CARE";6
"QUALITY CLINICAL";"QUALITY CLINICAL";1
"QUALITY IMPLICATIONS";"QUALITY IMPLICATIONS";1
"QUALITY IMPROVEMENT";"QUALITY IMPROVEMENT";1
"QUANTITY-QUALITY TRADE-OFF";"QUANTITY-QUALITY TRADE-OFF";4
"QUANTUM REQUIREMENTS";"QUANTUM REQUIREMENTS";3
"QUARTERLYI CITATION";"QUARTERLYI CITATION";6
"QUASI-EXPERIMENTAL STUDY";"QUASI-EXPERIMENTAL STUDY";6
"QUEER ANTI-RACIST";"QUEER ANTI-RACIST";2
"QUEER ARGONAUTS";"QUEER ARGONAUTS";6
"QUEER BEINGKNOWINGFEELING";"QUEER BEINGKNOWINGFEELING";2
"QUEER CRIP";"QUEER CRIP";6
"QUEER CRITIQUES";"QUEER CRITIQUES";2
"QUEER INTIMACIES";"QUEER INTIMACIES";4
"QUEER LENS";"QUEER LENS";1
"QUEER LIBERATION";"QUEER LIBERATION";4
"QUEER PARENTS";"QUEER PARENTS";4
"QUEER PHENOMENOLOGICAL";"QUEER PHENOMENOLOGICAL";6
"QUEER REPRODUCTIONS";"QUEER REPRODUCTIONS";4
"QUEER REPRODUCTIVE";"QUEER REPRODUCTIVE";3
"QUEER THEORY";"QUEER THEORY";1
"QUEERING REPRODUCTION";"QUEERING REPRODUCTION";6
"QUESTIONING SEXUAL";"QUESTIONING SEXUAL";2
"QUESTIONS PREGNANCY";"QUESTIONS PREGNANCY";1
"RACE-CONCORDANT CARE";"RACE-CONCORDANT CARE";1
"RACE CONCORDANCE";"RACE CONCORDANCE";1
"RACE GENDER";"RACE GENDER";4
"RACE MATCHING";"RACE MATCHING";1
"RACE PIG";"RACE PIG";4
"RACE REPRODUCTION";"RACE REPRODUCTION";2
"RACE SERIES";"RACE SERIES";4
"RACE SEXUALITY";"RACE SEXUALITY";2
"RACE THEORY";"RACE THEORY";4
"RACEI IGENDERI";"RACEI IGENDERI";4
"RACIAL CAPITALISM";"RACIAL CAPITALISM";6
"RACIAL DISPARITY";"RACIAL DISPARITY";4
"RACIAL ERASURE";"RACIAL ERASURE";1
"RACIAL GRIEF";"RACIAL GRIEF";4
"RACIAL PROJECT";"RACIAL PROJECT";1
"RACIAL VIOLENCE";"RACIAL VIOLENCE";4
"RACIALIZED IMAGERY";"RACIALIZED IMAGERY";2
"RACIALIZED RESIDENTIAL";"RACIALIZED RESIDENTIAL";4
"RACISM CULTIVATED";"RACISM CULTIVATED";1
"RACISM MIDDLE-CLASS";"RACISM MIDDLE-CLASS";1
"RACISM RUNS";"RACISM RUNS";1
"RACISM SEXUAL";"RACISM SEXUAL";1
"RADICAL CHARGE";"RADICAL CHARGE";2
"RADICAL FRAMEWORK";"RADICAL FRAMEWORK";3
"RADICAL INFORMED";"RADICAL INFORMED";3
"RADICAL LIBERATION";"RADICAL LIBERATION";2
"RADICAL ROOTS";"RADICAL ROOTS";6
"RAPID QUALITATIVE";"RAPID QUALITATIVE";6
"RAUHALAS TAIVASLAULU";"RAUHALAS TAIVASLAULU";5
"RE- PRODUCTIVE";"RE- PRODUCTIVE";1
"RE-CONSTRUCTS CHRISTIAN";"RE-CONSTRUCTS CHRISTIAN";2
"READING MOTHERHOOD";"READING MOTHERHOOD";2
"READING QUEER";"READING QUEER";4
"REAL AFRICAN";"REAL AFRICAN";2
"REAL STORY";"REAL STORY";6
"REALI CONCLUSION";"REALI CONCLUSION";2
"REALIZING REPRODUCTIVE";"REALIZING REPRODUCTIVE";6
"REBUILDING AMERICA";"REBUILDING AMERICA";6
"RECENT DEBATES";"RECENT DEBATES";2
"RECENT GERMAN-LANGUAGE";"RECENT GERMAN-LANGUAGE";4
"RECLAIMING POWER";"RECLAIMING POWER";4
"RECOGNIZING INFERTILITY";"RECOGNIZING INFERTILITY";2
"RECOGNIZING REPRODUCTIVE";"RECOGNIZING REPRODUCTIVE";2
"RECONCEIVING SURROGACY";"RECONCEIVING SURROGACY";2
"RECONSIDERED EXPERIENCES";"RECONSIDERED EXPERIENCES";5
"RECURRING RHETORICS";"RECURRING RHETORICS";6
"REDISTRIBUTE GENDERED";"REDISTRIBUTE GENDERED";4
"REDRESSING GESTATIONAL";"REDRESSING GESTATIONAL";3
"REDUCING SEXUAL";"REDUCING SEXUAL";1
"REFIGURING MOTHERHOOD";"REFIGURING MOTHERHOOD";6
"REFLECTING SEX";"REFLECTING SEX";4
"REFLECTIVE CAPACITY";"REFLECTIVE CAPACITY";1
"REFORMING MEDICAID";"REFORMING MEDICAID";6
"REFORMING SEXUAL";"REFORMING SEXUAL";2
"REFRAMING HUMAN";"REFRAMING HUMAN";5
"REFUSING EXTRACTION";"REFUSING EXTRACTION";4
"REFUSING STIGMATIZATION";"REFUSING STIGMATIZATION";2
"REGULAR CONTRIBUTOR";"REGULAR CONTRIBUTOR";6
"REGULATED DONOR";"REGULATED DONOR";4
"REIMAGINING FAITH";"REIMAGINING FAITH";6
"REIMAGINING GLOBAL";"REIMAGINING GLOBAL";5
"REIMAGINING RELATIONALITY";"REIMAGINING RELATIONALITY";2
"REIMAGINING RESEARCH";"REIMAGINING RESEARCH";4
"REJECTING HORMONAL";"REJECTING HORMONAL";4
"RELATIONAL REPRODUCTIVE";"RELATIONAL REPRODUCTIVE";6
"RELATIONALITY WOMEN";"RELATIONALITY WOMEN";4
"RELATIONSHIP ABUSE";"RELATIONSHIP ABUSE";4
"RELATIONSHIP BARRIERS";"RELATIONSHIP BARRIERS";5
"RELATIVE SILENCE";"RELATIVE SILENCE";5
"RELIGIOUS FUNDAMENTALISM";"RELIGIOUS FUNDAMENTALISM";6
"RELOCATING REPRODUCTIVE";"RELOCATING REPRODUCTIVE";4
"RENEWED CALLS";"RENEWED CALLS";5
"RENEWED PATRIARCHAL";"RENEWED PATRIARCHAL";2
"REPARATIVE JUSTICECARE";"REPARATIVE JUSTICECARE";2
"REPARATIVE REPRODUCTIVE";"REPARATIVE REPRODUCTIVE";1
"REPEAL CAMPAIGN";"REPEAL CAMPAIGN";6
"REPEAL MOVEMENT";"REPEAL MOVEMENT";4
"REPEAL RETHINKING";"REPEAL RETHINKING";5
"REPEALEDTHETH TRANSLATING";"REPEALEDTHETH TRANSLATING";5
"REPRESENTATIONS CONVEYED";"REPRESENTATIONS CONVEYED";4
"REPRODUCING RACE";"REPRODUCING RACE";4
"REPRODUCTION ACCOUNT";"REPRODUCTION ACCOUNT";3
"REPRODUCTION FAMILY";"REPRODUCTION FAMILY";1
"REPRODUCTION HYSTERECTOMY";"REPRODUCTION HYSTERECTOMY";4
"REPRODUCTION STUDY";"REPRODUCTION STUDY";4
"REPRODUCTION SURROGACY";"REPRODUCTION SURROGACY";6
"REPRODUCTION TECHNOLOGIES";"REPRODUCTION TECHNOLOGIES";4
"REPRODUCTIONS STRATIFIED";"REPRODUCTIONS STRATIFIED";4
"REPRODUCTIVE ABUSES";"REPRODUCTIVE ABUSES";4
"REPRODUCTIVE ACCESS";"REPRODUCTIVE ACCESS";4
"REPRODUCTIVE AGE";"REPRODUCTIVE AGE";4
"REPRODUCTIVE AGENCY";"REPRODUCTIVE AGENCY";1
"REPRODUCTIVE ANXIETY";"REPRODUCTIVE ANXIETY";4
"REPRODUCTIVE BODIES";"REPRODUCTIVE BODIES";6
"REPRODUCTIVE CARE-SEEKING";"REPRODUCTIVE CARE-SEEKING";4
"REPRODUCTIVE CHOICES";"REPRODUCTIVE CHOICES";4
"REPRODUCTIVE COMMODIFICATION";"REPRODUCTIVE COMMODIFICATION";6
"REPRODUCTIVE CONTROL";"REPRODUCTIVE CONTROL";5
"REPRODUCTIVE DECISION-MAKING";"REPRODUCTIVE DECISION-MAKING";2
"REPRODUCTIVE DISEMBODIMENT";"REPRODUCTIVE DISEMBODIMENT";6
"REPRODUCTIVE DISSENT";"REPRODUCTIVE DISSENT";4
"REPRODUCTIVE EXPERIENCES";"REPRODUCTIVE EXPERIENCES";6
"REPRODUCTIVE EXPLOITATION";"REPRODUCTIVE EXPLOITATION";6
"REPRODUCTIVE FUNCTION";"REPRODUCTIVE FUNCTION";6
"REPRODUCTIVE FUTURE";"REPRODUCTIVE FUTURE";6
"REPRODUCTIVE FUTURISM";"REPRODUCTIVE FUTURISM";6
"REPRODUCTIVE GENETIC";"REPRODUCTIVE GENETIC";4
"REPRODUCTIVE GOALS";"REPRODUCTIVE GOALS";4
"REPRODUCTIVE HUMAN";"REPRODUCTIVE HUMAN";5
"REPRODUCTIVE IDENTITY";"REPRODUCTIVE IDENTITY";6
"REPRODUCTIVE KNOWLEDGE";"REPRODUCTIVE KNOWLEDGE";2
"REPRODUCTIVE LABOR";"REPRODUCTIVE LABOR";6
"REPRODUCTIVE LABOUR";"REPRODUCTIVE LABOUR";2
"REPRODUCTIVE LIBERTY";"REPRODUCTIVE LIBERTY";6
"REPRODUCTIVE LIFE-COURSE";"REPRODUCTIVE LIFE-COURSE";6
"REPRODUCTIVE LIVES";"REPRODUCTIVE LIVES";5
"REPRODUCTIVE LOSS";"REPRODUCTIVE LOSS";6
"REPRODUCTIVE MANAGEMENT";"REPRODUCTIVE MANAGEMENT";4
"REPRODUCTIVE MEDICINE";"REPRODUCTIVE MEDICINE";6
"REPRODUCTIVE OBJECTIFICATION";"REPRODUCTIVE OBJECTIFICATION";6
"REPRODUCTIVE ORGANS";"REPRODUCTIVE ORGANS";4
"REPRODUCTIVE PEDAGOGY";"REPRODUCTIVE PEDAGOGY";2
"REPRODUCTIVE PLANNING";"REPRODUCTIVE PLANNING";4
"REPRODUCTIVE POSTHUMANISM";"REPRODUCTIVE POSTHUMANISM";6
"REPRODUCTIVE POWER";"REPRODUCTIVE POWER";2
"REPRODUCTIVE PRACTICES";"REPRODUCTIVE PRACTICES";6
"REPRODUCTIVE PSYCHIATRIC";"REPRODUCTIVE PSYCHIATRIC";1
"REPRODUCTIVE RACIAL";"REPRODUCTIVE RACIAL";6
"REPRODUCTIVE RACISM";"REPRODUCTIVE RACISM";2
"REPRODUCTIVE RIGHTS-RELATED";"REPRODUCTIVE RIGHTS-RELATED";4
"REPRODUCTIVE SLAVERY";"REPRODUCTIVE SLAVERY";6
"REPRODUCTIVE SOLIDARITY";"REPRODUCTIVE SOLIDARITY";6
"REPRODUCTIVE STRATIFICATION";"REPRODUCTIVE STRATIFICATION";4
"REPRODUCTIVE SUBJECTS";"REPRODUCTIVE SUBJECTS";4
"REPRODUCTIVE WELLBEING";"REPRODUCTIVE WELLBEING";6
"REPRODUTIVA AVALIAÇÃO";"REPRODUTIVA AVALIAÇÃO";4
"REPRODUTIVA CONTRA-HEGEMÔNICA";"REPRODUTIVA CONTRA-HEGEMÔNICA";2
"REPRODUTIVA INIQUIDADES";"REPRODUTIVA INIQUIDADES";4
"REPRODUTIVA INTERSECCIONALIDADE";"REPRODUTIVA INTERSECCIONALIDADE";4
"REPUBLICAN-CONTROLLED LOUISIANA";"REPUBLICAN-CONTROLLED LOUISIANA";5
"RESEARCH-TO-POLICY COLLABORATION";"RESEARCH-TO-POLICY COLLABORATION";6
"RESEARCH ACTIVISM";"RESEARCH ACTIVISM";4
"RESEARCH FRAMEWORK";"RESEARCH FRAMEWORK";1
"RESEARCH INTERNATIONAL";"RESEARCH INTERNATIONAL";6
"RESEARCH PRACTICE";"RESEARCH PRACTICE";3
"RESEARCHERS PERSPECTIVES";"RESEARCHERS PERSPECTIVES";1
"RESEARCHING REPRODUCTIVE";"RESEARCHING REPRODUCTIVE";4
"RESEARCHING SEXUAL";"RESEARCHING SEXUAL";3
"RESIDENTIAL SEGREGATION";"RESIDENTIAL SEGREGATION";4
"RESILIENCE BLACK";"RESILIENCE BLACK";4
"RESISTANCE HUMAN";"RESISTANCE HUMAN";5
"RESISTANCES VULNERABILITIES";"RESISTANCES VULNERABILITIES";2
"RESISTING JAMES";"RESISTING JAMES";6
"RESOURCE DISABILITY";"RESOURCE DISABILITY";1
"RESPECT ABQ";"RESPECT ABQ";6
"RESPECTING PROCREATIVE";"RESPECTING PROCREATIVE";1
"RESPONSE-ABLE FUTURES";"RESPONSE-ABLE FUTURES";3
"RESPONSIBLE WOMEN";"RESPONSIBLE WOMEN";4
"RESTORING WOMENS";"RESTORING WOMENS";1
"RESTORYING REPRODUCTIVE";"RESTORYING REPRODUCTIVE";4
"RESTRAINED MOTHERHOOD";"RESTRAINED MOTHERHOOD";6
"RESTRICTING ACCESS";"RESTRICTING ACCESS";5
"RESULTADOS MATERNO";"RESULTADOS MATERNO";1
"RETHINKING REPRODUCTIVE";"RETHINKING REPRODUCTIVE";2
"RETHINKING RISK";"RETHINKING RISK";1
"RETROFIT REFORM";"RETROFIT REFORM";4
"RETROFITTING FELLOWSHIPS";"RETROFITTING FELLOWSHIPS";1
"REVERSIBLE ETONOGESTREL";"REVERSIBLE ETONOGESTREL";4
"REVERSIBLE OPPORTUNITIES";"REVERSIBLE OPPORTUNITIES";4
"REVIEW FORCEDCOERCED";"REVIEW FORCEDCOERCED";5
"REVISITING CHALLENGES";"REVISITING CHALLENGES";1
"REVISITING SURROGACY";"REVISITING SURROGACY";6
"REVITALISING CRITICAL";"REVITALISING CRITICAL";1
"REVOLUTION II";"REVOLUTION II";5
"RHETORIC SEX";"RHETORIC SEX";6
"RHETORICAL ALIGNMENT";"RHETORICAL ALIGNMENT";2
"RHETORICAL INVENTION";"RHETORICAL INVENTION";4
"RHETORICALLY LISTENING";"RHETORICALLY LISTENING";6
"RICA OCTOBER";"RICA OCTOBER";5
"RICAN BIRTH";"RICAN BIRTH";6
"RIGHT-WING ANNIHILATIONISM";"RIGHT-WING ANNIHILATIONISM";6
"RIGHTS-BASED DISCOURSE";"RIGHTS-BASED DISCOURSE";6
"RIGHTS ACTIVISM";"RIGHTS ACTIVISM";5
"RIGHTS COMPREHENSIVE";"RIGHTS COMPREHENSIVE";1
"RIGHTS CONCERNS";"RIGHTS CONCERNS";4
"RIGHTS COUNTERING";"RIGHTS COUNTERING";5
"RIGHTS FUNDING";"RIGHTS FUNDING";1
"RIGHTS ORGANIZING";"RIGHTS ORGANIZING";4
"RIGHTS PARADIGM";"RIGHTS PARADIGM";1
"RIGHTS RADICAL";"RIGHTS RADICAL";2
"RIGHTS RESEARCH";"RIGHTS RESEARCH";1
"RIGHTS SRHR";"RIGHTS SRHR";1
"RIGHTS TRANSNATIONAL";"RIGHTS TRANSNATIONAL";5
"RISK DISCOURSE";"RISK DISCOURSE";2
"RISK EVALUATION";"RISK EVALUATION";1
"RISK FACTOR";"RISK FACTOR";5
"RISK RECOGNITION";"RISK RECOGNITION";4
"RISKS BODIES";"RISKS BODIES";4
"RISKS FEMINIST";"RISKS FEMINIST";2
"ROBBEN ISLAND";"ROBBEN ISLAND";6
"ROBUST ESTIMATE";"ROBUST ESTIMATE";4
"ROMANI GIRLS";"ROMANI GIRLS";6
"ROMOMATTER EMPOWERING";"ROMOMATTER EMPOWERING";3
"ROONEYS LITERATURES";"ROONEYS LITERATURES";4
"ROOTED ABORTION";"ROOTED ABORTION";5
"ROUNDTABLE IREPRODUCTIVE";"ROUNDTABLE IREPRODUCTIVE";4
"ROUNDTABLE REPRODUCTIVE";"ROUNDTABLE REPRODUCTIVE";4
"ROUTLEDGE HANDBOOK";"ROUTLEDGE HANDBOOK";6
"RUINED MADONNA";"RUINED MADONNA";1
"RULING ILLUMINATES";"RULING ILLUMINATES";4
"RUN REPRODUCTIVE";"RUN REPRODUCTIVE";3
"RURAL FAMILIES";"RURAL FAMILIES";2
"RURAL JAILS";"RURAL JAILS";4
"RUTH OZEKI";"RUTH OZEKI";3
"SAFE ABORTION";"SAFE ABORTION";5
"SAFE AFRICAN";"SAFE AFRICAN";2
"SAFE APPROACHES";"SAFE APPROACHES";1
"SAFE EFFECTIVE";"SAFE EFFECTIVE";4
"SAFE MOTHERHOOD";"SAFE MOTHERHOOD";4
"SAFEGUARDING ABORTION";"SAFEGUARDING ABORTION";5
"SAFEGUARDING CONCERNS";"SAFEGUARDING CONCERNS";2
"SAFER CONCEPTION";"SAFER CONCEPTION";3
"SAFETY ACCESSING";"SAFETY ACCESSING";1
"SAFETY CULTURE";"SAFETY CULTURE";1
"SAFETY DOMINANT";"SAFETY DOMINANT";4
"SAFETY NET";"SAFETY NET";6
"SAGA RESTRICTIVE";"SAGA RESTRICTIVE";1
"SALE REFLECTING";"SALE REFLECTING";6
"SALUD SEXUAL";"SALUD SEXUAL";4
"SAN FRANCISCO";"SAN FRANCISCO";2
"SANTIAGO CHILE";"SANTIAGO CHILE";2
"SARAH LEAH";"SARAH LEAH";2
"SASSAFRASS CYPRESS";"SASSAFRASS CYPRESS";4
"SATISFIED OUTCOMES";"SATISFIED OUTCOMES";6
"SAÚDE SEXUAL";"SAÚDE SEXUAL";4
"SAYAKA MURATAS";"SAYAKA MURATAS";6
"SCIENTIFIC COMMUNITY";"SCIENTIFIC COMMUNITY";6
"SCREENING REPRODUCTIVE";"SCREENING REPRODUCTIVE";2
"SCREENING TOOL";"SCREENING TOOL";6
"SCROUNGERS STRIVERS";"SCROUNGERS STRIVERS";6
"SECONDARY ANALYSIS";"SECONDARY ANALYSIS";2
"SECURING REPRODUCTIVE";"SECURING REPRODUCTIVE";6
"SEED SAVING";"SEED SAVING";6
"SEEKING PERMANENT";"SEEKING PERMANENT";5
"SEEKING REPRODUCTIVE";"SEEKING REPRODUCTIVE";2
"SEEKING RESPECTFUL";"SEEKING RESPECTFUL";1
"SELECTING WOMEN";"SELECTING WOMEN";4
"SELECTION CAMPAIGN";"SELECTION CAMPAIGN";2
"SELF-HELP LITERATURE";"SELF-HELP LITERATURE";1
"SELF-IDENTIFIED RACE";"SELF-IDENTIFIED RACE";4
"SELF-MANAGED CARE";"SELF-MANAGED CARE";4
"SELMAI II";"SELMAI II";2
"SENATOR JEN";"SENATOR JEN";2
"SEPARATING FAMILIES";"SEPARATING FAMILIES";2
"SER MADRE";"SER MADRE";6
"SERVICE ACTIVISM";"SERVICE ACTIVISM";2
"SERVICE EXPERIENCES";"SERVICE EXPERIENCES";2
"SERVICE POLICY";"SERVICE POLICY";1
"SERVICES PROVISION";"SERVICES PROVISION";1
"SERVICES UNITED";"SERVICES UNITED";5
"SERVING GENDER";"SERVING GENDER";2
"SETTINGS SERVING";"SETTINGS SERVING";2
"SEVILLE SPAIN";"SEVILLE SPAIN";1
"SEX-POSITIVE CRIMINOLOGY";"SEX-POSITIVE CRIMINOLOGY";2
"SEX EXPLORING";"SEX EXPLORING";2
"SEX FREEDOM";"SEX FREEDOM";6
"SEX INVOLVES";"SEX INVOLVES";4
"SEX MARRIAGE";"SEX MARRIAGE";2
"SEX SELECTION";"SEX SELECTION";2
"SEX SOCIAL";"SEX SOCIAL";4
"SEXOLOGY ARCHIVE";"SEXOLOGY ARCHIVE";6
"SEXUAL ABUSE";"SEXUAL ABUSE";3
"SEXUAL AGENCY";"SEXUAL AGENCY";4
"SEXUAL ATTITUDES";"SEXUAL ATTITUDES";5
"SEXUAL CITIZENS";"SEXUAL CITIZENS";6
"SEXUAL CITIZENSHIP";"SEXUAL CITIZENSHIP";4
"SEXUAL DISCOURSE";"SEXUAL DISCOURSE";6
"SEXUAL EXPLOITATION";"SEXUAL EXPLOITATION";1
"SEXUAL MINORITY";"SEXUAL MINORITY";2
"SEXUAL PANIC";"SEXUAL PANIC";6
"SEXUAL RIGHTS";"SEXUAL RIGHTS";5
"SEXUAL STEREOTYPES";"SEXUAL STEREOTYPES";1
"SEXUAL TRANSMISSION";"SEXUAL TRANSMISSION";4
"SEXUAL WELL-BEING";"SEXUAL WELL-BEING";6
"SEXUALITY EXPANDING";"SEXUALITY EXPANDING";6
"SEXUALITY HEALTH";"SEXUALITY HEALTH";4
"SEXUALITY OPPRESSION";"SEXUALITY OPPRESSION";5
"SEXUALLY TRANSMITTED";"SEXUALLY TRANSMITTED";5
